artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Eltono,,,,,,,,,,,Москва,,,{Москва:1},Yes,Graffiti,Paris,1975,,,male,France,muralist,[]
Layer,,,,,,,,,,,"East Union Street, California, Pasadena",,,"{East Union Street:4},{Pasadena:4},{California:4}",Yes,Graffiti,,,,,,,[],[]
Beau,,,,,,,,,2013.0,2014.0,Saint Louis,,,{Saint Louis:1},Yes,Graffiti,Leeds,1946,Point Cook,1941,male,United Kingdom,"['guitarist', 'songwriter', 'military personnel']",[]
Zadok,,,,,,,,,2012.0,2014.0,"East London, Sydenham",,,"{East London:3},{Sydenham:2}",Yes,Graffiti,Yemen,1949,,,male,Israel,"['sculptor', 'painter', 'Kohen']","{'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Daas,,,,,,,,,2013.0,2013.0,,,,,Yes,Graffiti,,,,,,,[],[]
Shiro,,,,,,,,,2011.0,2013.0,United States,,,{United States:2},Yes,Graffiti,Chiba Prefecture,2002,,1453,male organism,Japan,"['illustrator', 'singer', 'virtual talent', 'VTuber', 'drummer', 'professional gamer']",[]
Nazza,,,,,,,,,2008.0,2014.0,,,,,Yes,Graffiti,,,,,,,[],[]
Annie Preece,,,,,,,,,,,"Los Angeles, USA, California",,,"{Los Angeles:3},{California:3},{USA:3}",Yes,Graffiti,Burlingame,1981,,,female,United States of America,"['graffiti artist', 'muralist']",[]
Jace,,,,,,,,,2012.0,2014.0,"Tunisia, Oberkampf, Djerba, Paris, France, Erriadh",,,"{Erriadh:9},{Djerba:9},{Tunisia:9},{Oberkampf:1},{Paris:1},{France:1}",Yes,Graffiti,Le Havre,1973,,,male,France,"['graffiti artist', 'squire']",[]
FCO,,,,,,,,,2011.0,2014.0,"Bogota, Colombia",,,"{Bogota:3},{Colombia:3}",Yes,Graffiti,,,,,,,[],[]
Fintan Magee,,,,,,,,,2012.0,2014.0,"Tunisia, Los Angeles, Djerba, Colombia, Bogota, Erriadh, California, USA, Dalston",,,"{Bogota:1},{Colombia:1},{Dalston:1},{Erriadh:1},{Djerba:1},{Tunisia:1},{Los Angeles:1},{California:1},{USA:1}",Yes,Graffiti,Lismore,1985,,,male,Australia,graffiti artist,[]
Michael Beerens,,,,,,,,,2014.0,2014.0,"London, Lane",,,"{Lane:3},{London:3}",Yes,Graffiti,,1984,,,male,France,visual artist,[]
Jake,,,,,,,,,,,Washington,,,{Washington:5},Yes,Graffiti,Snowflake,1935,Show Low,2008,male,United States of America,"['politician', 'jazz musician', 'musician', 'university teacher', 'mathematician', 'adventurer', 'printmaker', 'editorial cartoonist', 'journalist', 'sculptor', 'swimmer', 'basketball player', 'badminton coach', 'non-fiction writer', 'badminton player', 'tarento', 'actor', 'tour guide', 'air traffic controller', 'diplomat', 'painter', 'vampire hunter', 'researcher', 'snowboarder', 'professional gamer', 'conspirator', 'amateur photographer', 'street sweeper', 'oceanographer', 'engineer', 'jockey', 'pornographic actor', 'film actor', 'athlete', 'comedian']","[{'location': 'Phoenix', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New Orleans', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Parlee,,,,,,,,,2011.0,2014.0,"East London, UK, London",,,"{East London:3},{London:3},{UK:3}",Yes,Graffiti,,,,,,,[],[]
Popay,,,,,,,,,2011.0,2013.0,"Paris, France",,,"{Paris:2},{France:2}",Yes,Graffiti,Barcelona,1971,,,male,France,"['graffiti artist', 'painter']",[]
Xeva,,,,,,,,,2014.0,2014.0,"South Korea, Gyeonggi",,,"{Gyeonggi:6},{South Korea:6}",Yes,Graffiti,,,,,,,[],[]
Okuda,,,,,,,,,2013.0,2014.0,"London, US, Khas Village, UK, Москва, Miami, United Kingdom, Wynwood, New Delhi",,,"{Wynwood:6},{Miami:6},{US:6},{Москва:3},{London:5},{United Kingdom:1},{UK:3},{Khas Village:5},{New Delhi:5}",Yes,Graffiti,Santander,1981,,,male,Spain,"['painter', 'botanist']",[]
Insa,,,,,,,,,2013.0,2015.0,"Los Angeles, North Rd, Taiwan, Colombia, Honolulu, Bogota, Zhongshan District, California, USA, Taipei City",,,"{Bogota:1},{Colombia:1},{Honolulu:1},{Los Angeles:2},{North Rd:1},{Zhongshan District:1},{Taipei City:1},{Taiwan:1},{California:1},{USA:1}",Yes,Graffiti,,,,,,,[],[]
Latiff Mohidin,,,,,,,,,1958.0,1964.0,,,,,Yes,Graffiti,,1941,,,male,,"['painter', 'writer']",[]
Nehemiah Partridge,,,,,,,,,1718.0,1724.0,,,,,Yes,Graffiti,,1683,,1730,male,United States of America,painter,"{'location': 'New England', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Malarky,,,,,,,,,2011.0,2014.0,"London, UK, East London",,,"{London:25},{UK:25},{East London:4}",Yes,Graffiti,,,,,,,[],[]
Cerok,,,,,,,,,2011.0,2013.0,Santa María del Buen,,,{Santa María del Buen:1},Yes,Graffiti,,,,,,,[],[]
Truth,,,,,,,,,,,"Nueces, Austin, Texas",,,"{Austin:6},{Texas:6},{Nueces:1}",Yes,Graffiti,Beverly,1867,,1927,female,France,"['delivery driver', 'guitarist', 'student', 'musician', 'professional gamer']",[]
Resto,,,,,,,,,,,Belgium,,,{Belgium:3},Yes,Graffiti,,,,,,,[],[]
Aner,,,,,,,,,2014.0,2014.0,,,,,Yes,Graffiti,,1108,,,male,Song dynasty,teacher,[]
Jeff Hamada,,,,,,,,,2011.0,2014.0,Honolulu,,,{Honolulu:7},Yes,Graffiti,Vancouver,1982,,,male,Canada,artist,"{'location': 'Vancouver', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Bonom,,,,,,,,,2009.0,2013.0,"Belgium, Brussels, Bangkok, Thailand, Paris, France, Siam Square",,,"{Brussels:2},{Belgium:2},{Paris:2},{France:2},{Siam Square:1},{Bangkok:1},{Thailand:1}",Yes,Graffiti,Paris,1986,,,male,France,"['graffiti artist', 'muralist', 'street artist']",[]
Diamond,,,,,,,,,2012.0,2012.0,"Italy, Messina",,,"{Messina:3},{Italy:3}",Yes,Graffiti,Redhill,1963,,2023,male,England,"['darts player', 'rapper', 'botanist', 'YouTuber', 'author', 'record producer', 'poster artist', 'artist']",[]
Atak,,,,,,,,,2013.0,2014.0,"East Brunswick, Australia, Melbourne",,,"{Melbourne:3},{Australia:3},{East Brunswick:1}",Yes,Graffiti,,,,,,,[],[]
Murdock,,,,,,,,,,,"Los Angeles, USA, California, Arlington",,,"{Los Angeles:5},{California:5},{USA:1},{Arlington:4}",Yes,Graffiti,Ramalde,1977,,,male,Portugal,"['botanist', 'association football player']",[]
Smile,,,,,,,,,2012.0,2013.0,Portugal,,,{Portugal:1},Yes,Graffiti,Yangon,1982,,,male organism,Peru,"['model', 'singer', 'actor', 'professional gamer']",[]
Scan,,,,,,,,,2013.0,2014.0,"Montreal, Quebec",,,"{Montreal:2},{Quebec:2}",Yes,Graffiti,,1988,,2016,male organism,,[],[]
Michael Massenburg,,,,,,,,,,,Los Angeles,,,{Los Angeles:3},Yes,Graffiti,,1959,,,,,"['assemblage artist', 'collagist', 'painter']",[]
Bond,,,,,,,,,1996.0,1996.0,"Khas Village, New Delhi",,,"{Khas Village:4},{New Delhi:4}",Yes,Graffiti,Philadelphia,1900,Philadelphia,1989,male,United States of America,"['ornithologist', 'curator', 'botanist', 'botanical collector']",[]
Rino,,,,,,,,,2009.0,2014.0,Greece,,,{Greece:8},Yes,Graffiti,Vercelli,1904,Mezzenile,1944,male,Kingdom of Italy,"['Q110460894', 'partisan']",[]
Carolina Falkholt,,,,,,,,,2014.0,2014.0,"Borås, Sweden",,,"{Borås:3},{Sweden:3}",Yes,Graffiti,Domkyrkoförsamlingen in Göteborg,1977,,,female,Sweden,"['graffiti artist', 'visual artist', 'painter']",[]
phoenix,,,,,,,,,2012.0,2013.0,"Ann Street, Brunswick",,,"{Ann Street:1},{Brunswick:1}",Yes,Graffiti,,,,,,,[],[]
Nomade,,,,,,,,,,,"Los Angeles, USA, California",,,"{Los Angeles:3},{California:2},{USA:2}",Yes,Graffiti,,,,,,,[],[]
Sketchy,,,,,,,,,,,"Los Angeles, USA, California",,,"{Los Angeles:7},{California:7},{USA:7}",Yes,Graffiti,,,,,male,United States of America,bicycle courier,[]
Seth,,,,,,,,,2010.0,2015.0,"Tunisia, Djerba, Paris, France, Honolulu, Erriadh, Fulton, BATON ROUGE, Chile, San Miguel",,,"{BATON ROUGE:11},{Fulton:1},{Paris:2},{France:3},{Erriadh:6},{Djerba:6},{Tunisia:6},{San Miguel:2},{Chile:2},{Honolulu:1}",Yes,Graffiti,Clinton,3669,Helmand,2757,male,Canada,"['prophet', 'comics creator', 'drawer', 'comics writer', 'caricaturist', 'cartoonist', 'comics artist', 'screenwriter', 'singer', 'chief executive officer', 'production manager', 'pornographic actor', 'botanist', 'researcher', 'filmmaker', 'aircraft pilot']",[]
Imao Keinen,,,,,,,,,,,Japan,,,{Japan:1},Yes,Graffiti,Kyoto,1845,,1924,male,Japan,painter,[]
Ernest Zacharevic,,,,,,,,,,,"Belgium, Brussels, Los Angeles, California, USA",,,"{Brussels:1},{Belgium:1},{Los Angeles:2},{California:2},{USA:2}",Yes,Graffiti,,1986,,,male,,artist,[]
Risk,,,,,,,,,2008.0,2011.0,"Los Angeles, USA, California, Greece",,,"{Los Angeles:3},{Greece:2},{California:1},{USA:1}",Yes,Graffiti,,,,,male,United States of America,"['high school student', 'superhero']",[]
Mattia,,,,,,,,,,,New Delhi,,,{New Delhi:3},Yes,Graffiti,,,,,male,,[],[]
Deimos,,,,,,,,,2011.0,2013.0,Santa María del Buen,,,{Santa María del Buen:1},Yes,Graffiti,,,,,male,Sparta,magician,[]
NINA,,,,,,,,,2014.0,2014.0,"Tunisia, Lavapés, Erriadh, Djerba",,,"{Erriadh:1},{Djerba:1},{Tunisia:1},{Lavapés:1}",Yes,Graffiti,,,,,,,[],[]
El Marian,,,,,,,,,2012.0,2013.0,,,,,Yes,Graffiti,Buenos Aires,1983,,,male,Argentina,street artist,[]
Pure Evil,,,,,,,,,2014.0,2014.0,London,,,{London:3},Yes,Graffiti,,1968,,,male,United Kingdom,"['researcher', 'visual artist']",[]
Guache,,,,,,,,,2012.0,2014.0,"Bogota, Colombia",,,"{Bogota:5},{Colombia:5}",Yes,Graffiti,,,,,,,[],[]
Che,,,,,,,,,,,Washington,,,{Washington:4},Yes,Graffiti,Adliswil,1950,La Higuera,655,male,Switzerland,"['pianist', 'revolutionary', 'partisan']",[]
Blic,,,,,,,,,2012.0,2014.0,"Philippines, San Juan, Manila, Davao, Dasmarinas, Las Piñas, Cavite City, Metro Manila, Cavite, Molino, Las Piñas City, Davao City, Bacoor, Longos, Pasay City",,,"{Davao City:1},{Davao:1},{Philippines:28},{Cavite City:1},{Cavite:27},{Las Piñas:1},{Metro Manila:5},{Longos:1},{Bacoor:8},{Molino:1},{Pasay City:3},{Las Piñas City:1},{San Juan:1},{Manila:4},{Dasmarinas:1}",Yes,Graffiti,,,,,,,[],[]
Mode 2,,,,,,,,,2014.0,2014.0,,,,,Yes,Graffiti,,1967,,,male,France,illustrator,[]
ICE,,,,,,,,,2010.0,2014.0,Santa María del Buen,,,{Santa María del Buen:1},Yes,Graffiti,Copenhagen,1996,,,male,Denmark,"['musician', 'performing artist', 'actor']",[]
Distort,,,,,,,,,2012.0,2015.0,"United States, Jersey City",,,"{Jersey City:5},{United States:5}",Yes,Graffiti,,,,,,,[],[]
Adres,,,,,,,,,2011.0,2012.0,,,,,Yes,Graffiti,,,,,,,[],[]
Nade,,,,,,,,,2009.0,2014.0,Greece,,,{Greece:7},Yes,Graffiti,Hackensack,1997,,,male,United States of America,pornographic actor,[]
Omen,,,,,,,,,2013.0,2014.0,"Montreal, New York, Quebec",,,"{New York:1},{Montreal:2},{Quebec:2}",Yes,Graffiti,Chicago,1976,,,male,United States of America,"['record producer', 'dancer', 'superhero', 'composer']",[]
Don,,,,,,,,,2011.0,2014.0,"London, UK, East London",,,"{London:3},{UK:3},{East London:3}",Yes,Graffiti,Mart,1920,Seattle,2012,male,United States of America,"['hematologist', 'university teacher', 'physicist', 'physician', 'fictional ninja', 'roboticist', 'vigilante', 'geneticist', 'electronics technician', 'inventor', 'machinist', 'swimmer', 'jazz musician', 'songwriter', 'pianist', 'non-fiction writer', 'badminton player', 'journalist', 'politician', 'baseball player', 'musician', 'secretary', 'football player', 'military officer', 'singer', 'entomologist', 'botanist', 'textile artist', 'sculptor', 'painter', 'non-player character', 'researcher', 'gangster', 'lawyer', 'engineer', 'actor', 'ninja', 'horse trainer', 'association football player', 'jazz trombonist', 'academic', 'trombonist', 'military personnel', 'civil servant', 'writer', 'herpetologist', 'ecologist', 'naturalist', 'naval aviator']","[{'location': 'New Orleans', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Kaduna State College of Education, Gidan-Waya, Kafanchan', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Triga,,,,,,,,,2012.0,2014.0,,,,,Yes,Graffiti,,,,,,,[],[]
David de la Mano,,,,,,,,,2014.0,2014.0,"Tunisia, Erriadh, Djerba",,,"{Erriadh:10},{Djerba:10},{Tunisia:10}",Yes,Graffiti,Salamanca,1975,,,male,Spain,visual artist,[]
King Bee,,,,,,,,,,,St. BATON ROUGE,,,{St. BATON ROUGE:2},Yes,Graffiti,,,,,,,[],[]
Demer,,,,,,,,,2013.0,2013.0,United States,,,{United States:3},Yes,Graffiti,,,,,,,[],[]
Philippe Allard,,,,,,,,,2011.0,2013.0,"Montreal, Canada",,,"{Montreal:7},{Canada:7}",Yes,Graffiti,,,,,male,Belgium,visual artist,[]
Nanook,,,,,,,,,2010.0,2014.0,"Constitucion, San Jose, Constitución",,,"{Constitución:1},{San Jose:1},{Constitucion:1}",Yes,Graffiti,,,,,,,[],[]
Macs,,,,,,,,,2012.0,2012.0,"France, FRance",,,"{France:15},{FRance:5}",Yes,Graffiti,,,,,,,[],[]
Ink,,,,,,,,,2013.0,2014.0,"Bogota, Colombia",,,"{Bogota:3},{Colombia:3}",Yes,Graffiti,Bangkok,1994,,,male,United States of America,"['superhero', 'student', 'voice actor', 'singer', 'actor']",[]
Psyckoze,,,,,,,,,2014.0,2014.0,,,,,Yes,Graffiti,,,,,male,,graffiti artist,[]
Kashink,,,,,,,,,2013.0,2014.0,"Paris, France, Poland, Miami, Poznan",,,"{Paris:6},{France:6},{Miami:1},{Poznan:1},{Poland:1}",Yes,Graffiti,,1981,,,female,France,"['graffiti artist', 'street artist']",[]
Tamara Alves,,,,,,,,,2012.0,2014.0,Portugal,,,{Portugal:1},Yes,Graffiti,Portimão,1983,,,female,Portugal,"['visual artist', 'muralist', 'tattoo artist', 'illustrator']",[]
Libertad,,,,,,,,,2011.0,2011.0,Centro,,,{Centro:4},Yes,Graffiti,,,,,,,[],[]
Bobo,,,,,,,,,2014.0,2015.0,"Taipei City, Wanhua District",,,"{Wanhua District:3},{Taipei City:3}",Yes,Graffiti,Jaremičy,1924,Nanaimo,2014,male,Second Polish Republic,parasitologist,[]
Ecos,,,,,,,,,2010.0,2013.0,"San Miguel, Chile",,,"{San Miguel:2},{Chile:2}",Yes,Graffiti,,,,,,,[],[]
Artez,,,,,,,,,,,New Delhi,,,{New Delhi:4},Yes,Graffiti,Belgrade,1988,,,male,Serbia,"['graffiti artist', 'artist']",[]
Oster,,,,,,,,,2011.0,2013.0,Santa María del Buen,,,{Santa María del Buen:1},Yes,Graffiti,,,,,,,[],[]
Peeta,,,,,,,,,2013.0,2014.0,"Sweden, Paris, Borås, France, Fulton, Rochester",,,"{Rochester:1},{Fulton:1},{Paris:1},{France:1},{Borås:2},{Sweden:2}",Yes,Graffiti,Province of Padua,1980,,,male,Italy,"['sculptor', 'painter']",[]
Speto,,,,,,,,,2013.0,2013.0,"Paris, Fulton, France",,,"{Fulton:1},{Paris:1},{France:1}",Yes,Graffiti,São Paulo,1971,,,,Brazil,[],[]
Run,,,,,,,,,2012.0,2014.0,"East London, London, Corwn, England, Greyhound, Dulwich Village, Forest Hill",,,"{East London:3},{London:8},{England:2},{Dulwich Village:3},{Forest Hill:2},{Corwn:1},{Greyhound:1}",Yes,Graffiti,Queens,1964,,878,male,United States of America,"['rapper', 'Christian minister', 'film score composer', 'musician', 'television producer', 'record producer', 'disc jockey', 'minister', 'actor', 'screenwriter', 'monarch', 'film director', 'comics artist', 'illustrator', 'television actor', 'singer', 'poet']",[]
Pelado,,,,,,,,,2012.0,2012.0,"San Nicolas, Constitución",,,"{San Nicolas:1},{Constitución:1}",Yes,Graffiti,Rosario,1928,La Higuera,1967,male,Argentina,"['revolutionary', 'partisan', 'guerrilla movement', 'painter']",[]
Semi,,,,,,,,,2014.0,2014.0,"South Korea, Gyeonggi",,,"{Gyeonggi:5},{South Korea:5}",Yes,Graffiti,South Korea,2002,,,female,South Korea,"['botanist', 'singer']",[]
Plea,,,,,,,,,2011.0,2014.0,"Melbourne, Fitzroy, Ann Street, Australia, Brunswick",,,"{Fitzroy:3},{Melbourne:6},{Australia:3},{Ann Street:1},{Brunswick:1}",Yes,Graffiti,,,,,,,[],[]
Christiaan Nagel,,,,,,,,,2012.0,2013.0,"London, England",,,"{London:6},{England:2}",Yes,Graffiti,Durban,1982,,,male,United Kingdom,artist,[]
1010,,,,,,,,,2014.0,2015.0,"Москва, St. Pauli, Germany, Hamburg",,,"{Москва:2},{St. Pauli:1},{Hamburg:1},{Germany:1}",Yes,Graffiti,Eickel,1915,Berlin,1994,male,Germany,"['film actor', 'television actor', 'theatrical director', 'voice actor', 'stage actor', 'drawer', 'novelist', 'poet lawyer', 'painter', 'poet', 'writer', 'screenwriter', 'historical linguist', 'linguist', 'university teacher', 'politician', 'statesperson', 'diplomat', 'graphic artist', 'illustrator', 'engraver', 'literary historian', 'historian', 'Islamic jurist', 'theologian', 'scientist', 'archaeologist', 'travel writer', 'journalist', 'physician', 'entrepreneur', 'businessperson', 'producer', 'chess player', 'film editor', 'director', 'film producer', 'scenographer', 'film director', 'camera operator', 'executive producer', 'cinematographer', 'photographer', 'mechanical automaton engineer', 'music theorist', 'musicologist', 'philosopher', 'correspondent', 'mathematician', 'physicist', 'military personnel', 'astronomer', 'Bible translator', 'latinist', 'essayist', ""Lady Margaret's Professor of Divinity"", 'Latin Catholic priest', 'translator', 'Catholic deacon', 'entomologist', 'Catholic priest', 'lyricist', 'songwriter', 'singer', 'actor', 'engineer', 'recording artist', 'jazz musician', 'reporter', 'composer', 'printmaker', 'character actor', 'comedian', 'literary critic', 'art historian', 'LGBTQI+ rights activist', 'sociologist', 'psychotherapist', 'political scientist', 'medalist', 'sculptor', 'librarian', 'jurist', 'chemist', 'opera singer', 'urban planner', 'architect', 'lichenologist', 'botanist', 'publisher', 'radio personality', 'ornithologist', 'biologist', 'zoologist', 'naturalist', 'explorer', 'accountant', 'aircraft pilot', 'art critic', 'academic', 'military leader', 'partisan', 'judge', 'athletics competitor', 'teacher', 'baseball player', 'cricketer', 'civil servant', 'association football player', 'bassoonist', 'violist', 'guitarist', 'lexicographer', 'surveyor', 'Australian rules football player']","[{'location': 'Tuscany', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Grudziądz', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Neubrandenburg District', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Neubrandenburg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Altentreptow', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Eisenach', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Leipzig', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Freiburg im Breisgau', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Vienna', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Washington, D.C.', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Italy', 'start_time': '1550-01-01T00:00:00Z', 'end_time': '1558-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1558-01-01T00:00:00Z', 'end_time': '1603-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Buffalo', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Cincinnati', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Cologne', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bern', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Brissago', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Uetikon am See', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Arosa', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Munich', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Medina', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Mecca', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Nishapur', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Baghdad', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Madrid', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Sandwich', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Albany', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Chicago', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Boston', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Hollywood', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Stockholm', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Poitiers', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'La Flèche', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Basel', 'start_time': '1514-01-01T00:00:00Z', 'end_time': None, 'point_in_time': None}, {'location': 'Rotterdam', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Motor,,,,,,,,,2011.0,2014.0,"London, UK, East London",,,"{London:2},{UK:2},{East London:1}",Yes,Graffiti,,,,,,,[],[]
Shristi Shrestha,,,,,,,,,2013.0,2013.0,,,,,Yes,Graffiti,Bandipur,1989,,,female,Nepal,"['beauty pageant contestant', 'film actor', 'model', 'researcher']",[]
Conor Harrington,,,,,,,,,2013.0,2013.0,"London, San Juan, New York, RiveraSanturce, USA, Rochester, Puerto Rico",,,"{RiveraSanturce:3},{Puerto Rico:5},{Rochester:3},{London:2},{New York:2},{USA:2},{San Juan:1}",Yes,Graffiti,Cork,1980,,,male,,painter,[]
Cazo,,,,,,,,,2011.0,2013.0,Santa María del Buen,,,{Santa María del Buen:1},Yes,Graffiti,,,,,,,[],[]
Steep,,,,,,,,,2011.0,2013.0,"Puerto Madero, New York, United States",,,"{Puerto Madero:1},{New York:1},{United States:1}",Yes,Graffiti,,,,,,Ecuador,artist,[]
Vhils,,,,,,,,,2010.0,2015.0,"Shanghai, Portugal, Colombia, Paris, France, Bogota, Honolulu, Fulton, Żeromskiego, Poland, Covilhã, Łódź, China",,,"{Bogota:1},{Colombia:1},{Łódź:12},{Poland:12},{Żeromskiego:12},{Shanghai:2},{China:2},{Paris:5},{France:4},{Fulton:1},{Honolulu:2},{Covilhã:1},{Portugal:1}",Yes,Graffiti,Seixal,1987,,,male,Portugal,muralist,[]
Violant,,,,,,,,,2013.0,2013.0,,,,,Yes,Graffiti,Barcelona,1384,Saumur,1442,female,,politician,[]
Laguna,,,,,,,,,2014.0,2014.0,"Tunisia, Erriadh, Djerba",,,"{Erriadh:4},{Djerba:4},{Tunisia:4}",Yes,Graffiti,Santa Cruz de Mudela,1826,Valdepeñas,1902,male,Spain,"['forestry engineer', 'botanist']",[]
Askew,,,,,,,,,2013.0,2015.0,"Honolulu, Kamani St.",,,"{Honolulu:5},{Kamani St.:2}",Yes,Graffiti,London,1874,Ionian Sea,1917,female,United Kingdom of Great Britain and Ireland,writer,[]
Fame,,,,,,,,,,,Washington,,,{Washington:8},Yes,Graffiti,,,,,,,[],[]
Ibie,,,,,,,,,2013.0,2013.0,"Siam Square, Bangkok, Thailand, Ratchathewi",,,"{Ratchathewi:1},{Bangkok:2},{Thailand:3},{Siam Square:1}",Yes,Graffiti,,,,,,,[],[]
Kevin Lyons,,,,,,,,,2014.0,2016.0,"New York, United States",,,"{New York:2},{United States:2}",Yes,Graffiti,Hobart,1923,Melbourne,2000,male,Australia,"['politician', 'cricketer']",[]
Boris,,,,,,,,,2012.0,2013.0,"Paris, Belleville, Fabien, France",,,"{Paris:4},{France:4},{Fabien:1},{Belleville:1}",Yes,Graffiti,Trieste,1920,Rocca Canavese,1945,male,Kingdom of Italy,[],[]
Sam3,,,,,,,,,2010.0,2012.0,"Ekaterinburg, Atlanta, Russia, Portugal, Vaynera, Taganskaya, Rome",,,"{Ekaterinburg:3},{Russia:3},{Taganskaya:1},{Portugal:1},{Rome:1},{Vaynera:1},{Atlanta:1}",Yes,Graffiti,,,,,,,[],[]
DIM2,,,,,,,,,2014.0,2014.0,"South Korea, Gyeonggi",,,"{Gyeonggi:3},{South Korea:3}",Yes,Graffiti,,,,,,,[],[]
Rone,,,,,,,,,2012.0,2015.0,"East London, New Taipei City, Melbourne, Keawe St., Taiwan, Honolulu, Shenkeng District, BATON ROUGE, Australia",,,"{BATON ROUGE:2},{Melbourne:8},{Keawe St.:1},{Honolulu:3},{East London:1},{Shenkeng District:2},{New Taipei City:2},{Taiwan:2},{Australia:2}",Yes,Graffiti,Boulogne-Billancourt,1980,,,male,France,"['musician', 'painter', 'politician', 'association football player']",[]
Saile,,,,,,,,,2011.0,2013.0,"Paris, France, Chile, Fulton, San Miguel",,,"{San Miguel:2},{Chile:2},{Fulton:1},{Paris:1},{France:1}",Yes,Graffiti,,1680,,1729,male,,[],[]
Muck Rock,,,,,,,,,,,"Los Angeles, USA, California, Arlington",,,"{Los Angeles:2},{California:2},{USA:1},{Arlington:1}",Yes,Graffiti,,,,,,,[],[]
Jaz,,,,,,,,,2010.0,2014.0,"Tunisia, Perth, Johannesburg, Kadıköy, Atlanta, Turkey, Djerba, Paris, Santurce, France, Escuela Arquitectura, Fulton, İstanbul, Chile, Erriadh, San Miguel, Puerto Rico",,,"{Puerto Rico:4},{Escuela Arquitectura:3},{Santurce:3},{Perth:3},{Kadıköy:5},{İstanbul:5},{Turkey:5},{Johannesburg:6},{Fulton:1},{Paris:1},{France:1},{San Miguel:1},{Chile:1},{Erriadh:2},{Djerba:2},{Tunisia:2},{Atlanta:1}",Yes,Graffiti,Brunei,1993,,,male,United States of America,"['singer', 'comics artist', 'researcher']",[]
Andy Yen,,,,,,,,,,,New Delhi,,,{New Delhi:4},Yes,Graffiti,Taichung,1985,,,male,Taiwan,"['organizational founder', 'chief executive officer', 'physicist', 'computer scientist', 'researcher', 'designer', 'artist']",[]
Plek,,,,,,,,,2013.0,2014.0,"San Miguel, Huechuraba, Los Arrayanes",,,"{San Miguel:1},{Los Arrayanes:1},{Huechuraba:2}",Yes,Graffiti,,,,,,,[],[]
Jey,,,,,,,,,2010.0,2014.0,"Paris, France",,,"{Paris:3},{France:3}",Yes,Graffiti,,2000,,,,,"['amateur wrestler', 'researcher', 'Wikimedian in residence']",[]
