artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Pasquale Celommi,"Academicism, Orientalism, Realism",Academic Art,"{Academicism:8},{Orientalism:3},{Realism:79}",90,Montepagano,1851.0,1928.0,Roseto degli Abruzzi,male,Kingdom of Italy,painter,[],[]
Paul Delaroche,"Academicism, Romanticism, Unknown",Romanticism,"{Academicism:13},{Romanticism:18},{Unknown:4}",35,Paris,1797.0,1856.0,Paris,male,France,"photographer, illustrator, painter, sculptor",['Paris'],[]
Paul Leroy,"Academicism, Art Nouveau (Modern), Impressionism, Orientalism",Orientalism,"{Academicism:13},{Art Nouveau (Modern):1},{Impressionism:1},{Orientalism:3}",18,Paris,1860.0,1942.0,17th arrondissement of Paris,male,France,"visual artist, painter, illustrator, musician, poet",[],[]
Paul Peel,"Academicism, Impressionism, Orientalism, Romanticism, Unknown",Academic Art,"{Academicism:28},{Impressionism:3},{Orientalism:1},{Romanticism:7},{Unknown:1}",40,London,1860.0,1892.0,Paris,male,Canada,painter,[],[]
Paul-Albert Besnard,"Academicism, Impressionism, Orientalism",Academic Art,"{Academicism:2},{Impressionism:91},{Orientalism:1}",94,7th arrondissement of Paris,1849.0,1934.0,Paris,male,France,"graphic artist, painter, engraver",[],[]
Pedro Américo,"Academicism, Romanticism, Unknown",Romanticism,"{Academicism:1},{Romanticism:2},{Unknown:5}",8,Areia,1843.0,1905.0,Florence,male,Brazil,"naturalist, poet, politician, painter, novelist",['Brasília'],[]
Petrus van Schendel,"Academicism, Romanticism",Romanticism,"{Academicism:39},{Romanticism:16}",55,Terheijden,1806.0,1870.0,City of Brussels,male,Belgium,painter,"['City of Brussels', 'Breda', 'Amsterdam', 'The Hague', 'Antwerp', 'Rotterdam']","['City of Brussels:1845-1870', 'Breda:1828-1829', 'Amsterdam:1830-1832', 'The Hague:1838-1844', 'Antwerp:1822-1828', 'Rotterdam:1832-1838']"
Raimundo de Madrazo,"Academicism, Impressionism, Japonism, Mannerism (Late Renaissance), Realism, Rococo",Academic Art,"{Academicism:9},{Impressionism:4},{Japonism:1},{Mannerism (Late Renaissance):1},{Realism:50},{Rococo:8}",73,Rome,1841.0,1920.0,Versailles,male,Spain,painter,[],[]
Raja Ravi Varma,"Academicism, Unknown",Academic Art,"{Academicism:50},{Unknown:1}",51,Kilimanoor,1848.0,1906.0,Attingal,male,Kingdom of Thiruvithamkoor,"painter, creator",['India'],[]
Rodolfo Amoedo,"Academicism, Art Nouveau (Modern), Romanticism",Romanticism,"{Academicism:6},{Art Nouveau (Modern):2},{Romanticism:18}",26,Salvador,1857.0,1941.0,Rio de Janeiro,male,Brazil,"university teacher, painter",['Paris'],[]
Romualdo Locatelli,"Academicism, Expressionism, Orientalism",Orientalism,"{Academicism:2},{Expressionism:31},{Orientalism:2}",35,Bergamo,1905.0,1943.0,Manila,male,Kingdom of Italy,"fresco painter, painter","['Veneto', 'French protectorate of Tunisia', 'Kingdom of Italy', 'Java', 'Manila']","['Veneto:1927-1927', 'French protectorate of Tunisia:1927-1927', 'Kingdom of Italy:1927-1938', 'Java:1938-1941', 'Manila:1941-1943']"
Rubens Santoro,"Academicism, Realism, Romanticism, Unknown",Realism,"{Academicism:9},{Realism:14},{Romanticism:7},{Unknown:1}",31,Mongrassano,1859.0,1942.0,Naples,male,Kingdom of Italy,painter,[],[]
Sir Lawrence Alma-Tadema,"Academicism, Romanticism, Unknown",Neoclassicism,"{Academicism:15},{Romanticism:200},{Unknown:2}",217,Dronryp,1836.0,1912.0,Wiesbaden,male,Belgium,"illustrator, painter, visual artist",[],[]
Solomon Joseph Solomon,"Academicism, Impressionism, Romanticism",Academic Art,"{Academicism:13},{Impressionism:5},{Romanticism:18}",36,London,1860.0,1927.0,Birchington-on-Sea,male,United Kingdom,"engineer, illustrator, painter","['London', 'Munich', 'Paris']",[]
Theodor Aman,"Academicism, Impressionism, Orientalism, Realism, Romanticism",Romanticism,"{Academicism:6},{Impressionism:4},{Orientalism:6},{Realism:4},{Romanticism:8}",28,Câmpulung,1831.0,1891.0,Bucharest,male,Romania,"printmaker, sculptor, painter, photographer",[],[]
Thomas Couture,"Academicism, Romanticism",Academic Art,"{Academicism:10},{Romanticism:17}",27,Senlis,1815.0,1879.0,Villiers-le-Bel,male,France,"painter, teacher",[],[]
Thomas Francis Dicksee,"Academicism, Orientalism, Romanticism, Unknown",Romanticism,"{Academicism:1},{Orientalism:3},{Romanticism:8},{Unknown:1}",13,London,1819.0,1895.0,London,male,United Kingdom,painter,[],[]
Toby Edward Rosenthal,Academicism,Academic Art,{Academicism:17},17,Frankfurt,1919.0,1917.0,Munich,male,United States of America,painter,['Munich'],[]
Vasily Surikov,"Academicism, Impressionism, Realism",Realism,"{Academicism:2},{Impressionism:4},{Realism:261}",267,Krasnoyarsk,1848.0,1916.0,Moscow,male,Russian Empire,painter,['Moscow'],[]
Victor Meirelles,"Academicism, Romanticism",Romanticism,"{Academicism:5},{Romanticism:9}",14,Florianópolis,1832.0,1903.0,Rio de Janeiro,male,Brazil,painter,[],[]
Vincenzo Camuccini,"Academicism, Neoclassicism, Unknown",Neoclassicism,"{Academicism:38},{Neoclassicism:14},{Unknown:1}",53,Rome,1771.0,1844.0,Rome,male,Papal States,"painter, art collector","['Florence', 'Rome']","['Florence:1798-1798', 'Rome:1789-1844']"
Wilhelm Kotarbinski,"Academicism, Art Nouveau (Modern), Romanticism, Symbolism",Art Nouveau,"{Academicism:1},{Art Nouveau (Modern):110},{Romanticism:3},{Symbolism:5}",119, Nieborow,1849.0,,,,,,,
William-Adolphe Bouguereau,"Academicism, Naturalism, Neoclassicism, Realism, Unknown",Neoclassicism,"{Academicism:378},{Naturalism:14},{Neoclassicism:20},{Realism:3},{Unknown:14}",429,La Rochelle,1825.0,1905.0,La Rochelle,male,France,painter,"['Paris', 'Rome']",[]
Wojciech Weiss,"Academicism, Art Nouveau (Modern), Expressionism, Impressionism, Post-Impressionism, Socialist Realism, Symbolism",Art Nouveau,"{Academicism:3},{Art Nouveau (Modern):3},{Expressionism:4},{Impressionism:6},{Post-Impressionism:7},{Socialist Realism:1},{Symbolism:5}",29,Leorda,1875.0,1950.0,Kraków,male,Poland,"graphic artist, university teacher, painter",[],[]
Xavier Mellery,"Academicism, Art Nouveau (Modern), Expressionism, Neo-Impressionism, Realism, Symbolism",Symbolism,"{Academicism:1},{Art Nouveau (Modern):7},{Expressionism:2},{Neo-Impressionism:7},{Realism:4},{Symbolism:18}",39,Laeken - Laken,1845.0,1921.0,Laeken - Laken,male,Belgium,"drawer, painter",[],[]
Émile Bayard,Academicism,Academic Art,{Academicism:58},58,La Ferté-sous-Jouarre,1837.0,1891.0,Cairo,male,France,"illustrator, painter, caricaturist",['Paris'],[]
Arnulf Rainer,"Action painting, Color Field Painting, Neo-Expressionism, Surrealism",Viennese Actionism,"{Action painting:2},{Color Field Painting:1},{Neo-Expressionism:9},{Surrealism:3}",15,Baden,1929.0,,,male,Austria,"video artist, drawer, university teacher, painter, performing artist, illustrator, photographer",[],[]
Brion Gysin,"Action painting, Neo-Dada, Surrealism",Surrealism,"{Action painting:6},{Neo-Dada:4},{Surrealism:1}",11,Taplow,1916.0,1986.0,Paris,male,United States of America,"drawer, new media artist, novelist, choreographer, painter, poet, writer, photographer",[],[]
Franz Kline,"Action painting, Expressionism",Abstract Art,"{Action painting:35},{Expressionism:2}",37,Wilkes-Barre,1910.0,1962.0,New York City,male,United States of America,"artist, painter, university teacher, drawer",['New York City'],[]
N.C. Wyeth,"American Realism, Realism, Romanticism, Unknown",Romanticism,"{American Realism:1},{Realism:35},{Romanticism:23},{Unknown:8}",67,Needham,1882.0,1945.0,Delaware County,male,United States of America,"illustrator, painter",[],[]
Rockwell Kent,"American Realism, Art Nouveau (Modern), Regionalism",Modernism,"{American Realism:31},{Art Nouveau (Modern):4},{Regionalism:4}",39,Tarrytown,1882.0,1971.0,Plattsburgh,male,United States of America,"prose writer, printmaker, painter, illustrator, writer",[],[]
Stuart Davis,"American Realism, Cubism, Hard Edge Painting, Pop Art, Unknown",Cubism,"{American Realism:1},{Cubism:9},{Hard Edge Painting:3},{Pop Art:6},{Unknown:1}",20,Philadelphia,1892.0,1964.0,New York City,male,United States of America,"drawer, painter",[],[]
Albert Gleizes,"Analytical Cubism, Cubism, Orphism, Post-Impressionism",Cubism,"{Analytical Cubism:3},{Cubism:33},{Orphism:3},{Post-Impressionism:1}",40,Paris,1881.0,1953.0,Saint-Rémy-de-Provence,male,France,"writer, illustrator, painter, art critic, philosopher, printmaker, drawer, art theorist",['Paris'],[]
Georges Braque,"Analytical Cubism, Cubism, Expressionism, Fauvism, Impressionism, Post-Impressionism, Surrealism, Synthetic Cubism",Cubism,"{Analytical Cubism:38},{Cubism:32},{Expressionism:95},{Fauvism:24},{Impressionism:1},{Post-Impressionism:3},{Surrealism:6},{Synthetic Cubism:45}",244,Argenteuil,1882.0,1963.0,Paris,male,France,"engraver, painter, sculptor, graphic artist, jewelry designer, scenographer, designer, printmaker, architectural draftsperson, drawer, lithographer, collagist","['Paris', 'Florence', 'Marseille', 'Avignon', 'New York City', 'Rome', 'Varangéville', 'La Ciotat', 'Venice', 'Germany', 'Antwerp', 'Honfleur']",[]
Jean Metzinger,"Analytical Cubism, Cubism, Cubo-Futurism, Fauvism, Neo-Impressionism, Neoclassicism, Purism, Synthetic Cubism",Cubism,"{Analytical Cubism:6},{Cubism:22},{Cubo-Futurism:2},{Fauvism:3},{Neo-Impressionism:29},{Neoclassicism:13},{Purism:5},{Synthetic Cubism:1}",81,Nantes,1883.0,1956.0,Paris,male,France,"writer, poet, illustrator, painter, visual artist, art critic, art theorist",['Paris'],[]
Juan Gris,"Analytical Cubism, Cubism, Synthetic Cubism",Cubism,"{Analytical Cubism:14},{Cubism:79},{Synthetic Cubism:112}",205,Madrid,1887.0,1927.0,Boulogne-Billancourt,male,Spain,"illustrator, painter, sculptor, scenographer, visual artist, printmaker, architectural draftsperson, drawer","['Boulogne-Billancourt', 'Paris', 'Madrid']",[]
Pavel Filonov,"Analytical Realism, Art Nouveau (Modern), Naïve Art (Primitivism), Realism, Socialist Realism",Abstract Art,"{Analytical Realism:89},{Art Nouveau (Modern):2},{Naïve Art (Primitivism):5},{Realism:3},{Socialist Realism:2}",101,Moscow,1883.0,1941.0,Saint Petersburg,male,Russian Empire,"drawer, scenographer, graphic artist, painter, illustrator, poet",[],[]
Yervand Kochar,"Analytical Realism, Expressionism, Social Realism",Cubism,"{Analytical Realism:1},{Expressionism:19},{Social Realism:3}",23,Tbilisi,1899.0,1979.0,Yerevan,male,Russian Empire,"drawer, graphic artist, sculptor, painter, illustrator",[],[]
August Natterer,Art Brut,Outsider art (Art brut),{Art Brut:11},11,Ravensburg,1868.0,1933.0,Rottweil,male,Germany,"painter, artist, electrician",[],[]
Bill Traylor,Art Brut,Outsider art (Art brut),{Art Brut:10},10,Benton,1854.0,1949.0,Montgomery,male,United States of America,"gouache painter, sharecropper, folk artist, drawer, painter, artist",[],[]
David Lynch,"Art Brut, Neo-Expressionism, Surrealism",Outsider art (Art brut),"{Art Brut:12},{Neo-Expressionism:16},{Surrealism:5}",33,Missoula,1946.0,2011.0,Long Beach,male,United States of America,"Australian rules football player, journalist, singer, tobacconist, auctioneer, postmaster, military officer, researcher, judge, recording artist, film actor, television actor, film editor, director, film producer, film director, voice actor, painter, lyricist, songwriter, animator, composer, writer, actor, photographer, screenwriter",[],[]
Dmytro Kavsan,"Art Brut, Expressionism, Neo-Expressionism, Neo-baroque, Pop Art, Surrealism, Transavantgarde",Outsider art (Art brut),"{Art Brut:15},{Expressionism:4},{Neo-Expressionism:2},{Neo-baroque:10},{Pop Art:2},{Surrealism:1},{Transavantgarde:28}",62,,,,,male,Ukraine,artist,[],[]
Friedrich Schroder-Sonnenstern,Art Brut,Outsider art (Art brut),{Art Brut:10},10,Sovetsk,1892.0,1982.0,Berlin,male,Germany,"painter, drawer",['Berlin'],['Berlin:1949-1982']
Gaston Chaissac,Art Brut,Outsider art (Art brut),{Art Brut:22},22,Avallon,1910.0,1964.0,La Roche-sur-Yon,male,France,"drawer, sculptor, painter, writer",[],[]
Henry Darger,"Art Brut, Japonism",Outsider art (Art brut),"{Art Brut:22},{Japonism:4}",26,Chicago,1892.0,1973.0,Chicago,male,United States of America,"diarist, science fiction writer, drawer, novelist, building manager, painter, writer",[],[]
Howard Finster,Art Brut,Outsider art (Art brut),{Art Brut:37},37,Valley Head,1916.0,2001.0,AdventHealth Redmond,male,United States of America,"preacher, painter, printmaker",['Summerville'],[]
Ilya Isupov,"Art Brut, Conceptual Art, Contemporary Realism, Expressionism, Magic Realism, Naïve Art (Primitivism), Neo-Expressionism, Neo-Pop Art",Outsider art (Art brut),"{Art Brut:1},{Conceptual Art:2},{Contemporary Realism:8},{Expressionism:4},{Magic Realism:10},{Naïve Art (Primitivism):38},{Neo-Expressionism:1},{Neo-Pop Art:2}",66,,,,,,,,[],[]
Jean Dubuffet,"Art Brut, Expressionism, Tachisme, Unknown",Outsider art (Art brut),"{Art Brut:45},{Expressionism:10},{Tachisme:5},{Unknown:11}",71,Le Havre,1901.0,1985.0,6th arrondissement of Paris,male,France,"writer, painter, sculptor, graphic artist, visual artist, philosopher, designer, printmaker, architectural draftsperson, drawer, art theorist, plastic artist","['Argentina', 'Turin', 'Le Havre', 'New York City', 'Paris']",[]
Louis Pons,Art Brut,Existential Art,{Art Brut:15},15,Marseille,1927.0,1888.0,Monclar,male,France,politician,['Paris'],[]
Louis Soutter,Art Brut,Outsider art (Art brut),{Art Brut:27},27,Morges,1871.0,1942.0,Ballaigues,male,Switzerland,"drawer, violinist, painter",[],[]
Lucy Ivanova,"Art Brut, Naïve Art (Primitivism), Neo-Expressionism",Neo-Expressionism,"{Art Brut:2},{Naïve Art (Primitivism):1},{Neo-Expressionism:10}",13,,,,,,,,,
Oleksandr Hnylyzkyj,"Art Brut, Conceptual Art, Expressionism, Hyper-Realism, Kinetic Art, Naïve Art (Primitivism), Neo-Expressionism, Neo-Pop Art, Neo-baroque, Transavantgarde",Transavantgarde,"{Art Brut:5},{Conceptual Art:3},{Expressionism:2},{Hyper-Realism:54},{Kinetic Art:2},{Naïve Art (Primitivism):8},{Neo-Expressionism:18},{Neo-Pop Art:16},{Neo-baroque:2},{Transavantgarde:9}",119,Kharkiv,1961.0,2009.0,Kyiv,male,Ukraine,painter,[],[]
Paul du Toit,"Art Brut, Outsider art",Outsider art (Art brut),"{Art Brut:1},{Outsider art:19}",20,Johannesburg,1965.0,2014.0,,male,South Africa,"sculptor, painter, actor, screenwriter",[],[]
Thomas Riesner,"Art Brut, Outsider art",Outsider art (Art brut),"{Art Brut:20},{Outsider art:10}",30,,,,,,,,,
Willem van Genk,"Art Brut, Outsider art",Outsider art (Art brut),"{Art Brut:1},{Outsider art:14}",15,Voorburg,1927.0,2005.0,The Hague,male,Kingdom of the Netherlands,"painter, sculptor, drawer","['The Hague', 'Bergen op Zoom', 'Voorburg']",['The Hague:1969-2005']
Aleksandra Ekster,"Art Deco, Art Nouveau (Modern), Constructivism, Cubo-Futurism, Suprematism",Suprematism,"{Art Deco:3},{Art Nouveau (Modern):4},{Constructivism:5},{Cubo-Futurism:33},{Suprematism:6}",51,Białystok,1882.0,1949.0,Fontenay-aux-Roses,female,Russian Empire,"textile artist, designer, scenographer, graphic artist, costume designer, painter, illustrator, artist",[],[]
Anton Prinner,"Art Deco, Constructivism, Cubism, Expressionism, Surrealism",Cubism,"{Art Deco:1},{Constructivism:5},{Cubism:4},{Expressionism:17},{Surrealism:10}",37,Budapest,1902.0,1983.0,12th arrondissement of Paris,trans man,Hungary,"writer, illustrator, painter, sculptor, ceramicist, printmaker",['Paris'],[]
Archibald Motley,Art Deco,Art Deco,{Art Deco:45},45,New Orleans,1891.0,1981.0,Chicago,male,United States of America,painter,[],[]
Bernardo Marques,"Art Deco, Expressionism",Art Deco,"{Art Deco:11},{Expressionism:8}",19,Silves,1898.0,1962.0,,male,Portugal,"painter, researcher",[],[]
Carlos Saenz de Tejada,"Art Deco, Art Nouveau (Modern), Cloisonnism, Cubism, Expressionism, Impressionism, Social Realism",Expressionism,"{Art Deco:16},{Art Nouveau (Modern):34},{Cloisonnism:1},{Cubism:3},{Expressionism:23},{Impressionism:6},{Social Realism:14}",97,Tangier,1897.0,1958.0,Madrid,male,Spain,"painter, costume designer",[],[]
Cassandre,"Art Deco, Unknown",Art Deco,"{Art Deco:90},{Unknown:1}",91,Kharkiv,1901.0,1968.0,Paris,male,France,"type designer, graphic designer, poster artist, painter, typographer, designer, lithographer",['Paris'],[]
Clarice Cliff,Art Deco,Art Deco,{Art Deco:20},20,Tunstall,1899.0,1972.0,Clayton,female,United Kingdom,ceramicist,[],[]
David Alfaro Siqueiros,"Art Deco, Expressionism, Muralism, Social Realism, Surrealism",Social Realism,"{Art Deco:1},{Expressionism:20},{Muralism:32},{Social Realism:12},{Surrealism:6}",71,Mexico City,1896.0,1974.0,Cuernavaca,male,Mexico,"fresco painter, printmaker, university teacher, painter, military personnel",[],[]
Diego Rivera,"Art Deco, Cubism, Figurative Expressionism, Muralism, Naïve Art (Primitivism), Neoclassicism, Regionalism, Social Realism, Surrealism, Unknown",Social Realism,"{Art Deco:20},{Cubism:16},{Figurative Expressionism:4},{Muralism:60},{Naïve Art (Primitivism):13},{Neoclassicism:1},{Regionalism:1},{Social Realism:24},{Surrealism:4},{Unknown:2}",145,Guanajuato City,1886.0,1957.0,Coyoacán,male,Mexico,muralist,"['Spain', 'Soviet Union', 'Bruges', 'Mexico City', 'San Francisco', 'Detroit', 'New York City', 'Paris']",[]
Eric Gill,Art Deco,Arts and Crafts,{Art Deco:47},47,Brighton,1882.0,1940.0,London Borough of Hillingdon,male,United Kingdom of Great Britain and Ireland,"rapist, postage stamp designer, sculptor, illustrator, graphic designer, type designer, printer",[],[]
Eugeniusz Zak,"Art Deco, Cloisonnism, Post-Impressionism",Post-Impressionism,"{Art Deco:4},{Cloisonnism:1},{Post-Impressionism:18}",23,Mahiĺna,1884.0,1926.0,14th arrondissement of Paris,male,Poland,painter,[],[]
François Pompon,Art Deco,Modernism,{Art Deco:14},14,Saulieu,1855.0,1933.0,7th arrondissement of Paris,male,France,"medalist, sculptor, artist",[],[]
Gerda Wegener,"Art Deco, Art Nouveau (Modern), Orientalism",Art Nouveau,"{Art Deco:53},{Art Nouveau (Modern):66},{Orientalism:6}",125,Hammelev,1885.0,1940.0,Frederiksberg,female,Denmark,"illustrator, painter, designer",['Paris'],['Paris:1912-1930']
Gregorio Sciltian,Art Deco,Art Deco,{Art Deco:3},3,Nakhichevan-on-Don,1900.0,1985.0,Rome,male,Russian Empire,painter,"['Italy', 'Milan']",['Italy:1923-1923']
Ivan Mestrovic,"Art Deco, Impressionism, Unknown",Impressionism,"{Art Deco:3},{Impressionism:5},{Unknown:5}",13,Vrpolje,1883.0,1962.0,South Bend,male,United States of America,"writer, teacher, architect, sculptor, university teacher",['Zagreb'],[]
Jean Dupas,Art Deco,Art Deco,{Art Deco:26},26,Bordeaux,1882.0,1964.0,Paris,male,France,"painter, poster artist",[],[]
John Austen,Art Deco,Art Deco,{Art Deco:56},56,Dover,1886.0,1572.0,Hythe,male,United Kingdom of Great Britain and Ireland,"politician, printmaker, visual artist, illustrator, lawyer, writer",[],[]
John Vassos,Art Deco,Art Deco,{Art Deco:37},37,,,1985.0,Norwalk,male,,graphic designer,[],[]
M.C. Escher,"Art Deco, Art Nouveau (Modern), Cubism, Expressionism, Northern Renaissance, Op Art, Realism, Surrealism",Surrealism,"{Art Deco:1},{Art Nouveau (Modern):1},{Cubism:5},{Expressionism:115},{Northern Renaissance:1},{Op Art:165},{Realism:51},{Surrealism:131}",470,Leeuwarden,1898.0,1972.0,Laren,male,Kingdom of the Netherlands,"photographer, ceramics designer, wood engraver, lithographer, drawer, printmaker, designer, muralist, postage stamp designer, sculptor, painter, illustrator","['City of Brussels', 'Delft', 'The Hague', 'Oosterbeek', 'Rome', 'Haarlem', 'Switzerland', 'Baarn', 'Netherlands']",[]
Manfred Kielnhofer,"Art Deco, Conceptual Art, Contemporary Realism, Light and Space, Poster Art Realism, Unknown",Contemporary,"{Art Deco:1},{Conceptual Art:5},{Contemporary Realism:1},{Light and Space:1},{Poster Art Realism:1},{Unknown:7}",16,Haslach an der Mühl,1967.0,,,male,Austria,"designer, sculptor, painter, photographer",[],[]
Maruja Mallo,"Art Deco, Cubism, Expressionism, Magic Realism, Naïve Art (Primitivism), Op Art, Pop Art, Surrealism",Magic Realism,"{Art Deco:1},{Cubism:2},{Expressionism:6},{Magic Realism:2},{Naïve Art (Primitivism):1},{Op Art:3},{Pop Art:1},{Surrealism:5}",21,Viveiro,1902.0,1995.0,Madrid,female,Spain,"theatre designer, graphic artist, sculptor, painter, artist, teacher",[],[]
Paul Émile Chabas,"Art Deco, Art Nouveau (Modern), Impressionism, Kitsch, Unknown",Kitsch,"{Art Deco:1},{Art Nouveau (Modern):6},{Impressionism:4},{Kitsch:6},{Unknown:1}",18,Nantes,1869.0,1937.0,Paris,male,France,"illustrator, painter",['Paris'],[]
Petre Otskheli,"Art Deco, Art Nouveau (Modern), Constructivism, Expressionism",Avant-garde,"{Art Deco:10},{Art Nouveau (Modern):5},{Constructivism:5},{Expressionism:1}",21,Kutaisi,1907.0,1937.0,,male,Georgia,"painter, costume designer, scenographer",['Georgia'],[]
Raphael Delorme,Art Deco,Art Deco,{Art Deco:29},29,Caudéran,1886.0,1962.0,7th arrondissement of Paris,male,France,"painter, visual artist",[],[]
Rene Magritte,"Art Deco, Cubism, Impressionism, Post-Impressionism, Surrealism",Surrealism,"{Art Deco:14},{Cubism:12},{Impressionism:2},{Post-Impressionism:4},{Surrealism:340}",372,Lessines,1898.0,,,,,,,
Stanisław Szukalski,"Art Deco, Impressionism, Surrealism",Art Deco,"{Art Deco:30},{Impressionism:5},{Surrealism:1}",36,Warta,1893.0,1987.0,Burbank,male,Poland,"art theorist, graphic artist, sculptor, painter",[],[]
Tahir Salahov,"Art Deco, Contemporary Realism, Expressionism, Severe Style, Socialist Realism",Socialist Realism,"{Art Deco:2},{Contemporary Realism:3},{Expressionism:9},{Severe Style:8},{Socialist Realism:2}",24,Baku,1928.0,2021.0,Berlin,male,Soviet Union,"graphic artist, painter, politician",[],[]
Tamara de Lempicka,"Art Deco, Cubism, Post-Impressionism, Surrealism",Art Deco,"{Art Deco:83},{Cubism:7},{Post-Impressionism:1},{Surrealism:2}",93,Warsaw,1898.0,1980.0,Cuernavaca,female,Poland,"artist, painter","['Italy', 'New York City', 'Paris', 'Los Angeles', 'Cuernavaca', 'Havana']",[]
Zinaida Serebriakova,"Art Deco, Art Nouveau (Modern), Expressionism, Impressionism, Symbolism",Symbolism,"{Art Deco:50},{Art Nouveau (Modern):95},{Expressionism:206},{Impressionism:36},{Symbolism:27}",414,Neskuchnoye,1884.0,1967.0,Paris,female,Russian Socialist Federative Soviet Republic,"painter, artist","['France', 'Russia']",[]
Adrien Dax,"Art Informel, Surrealism",Surrealism,"{Art Informel:7},{Surrealism:3}",10,Toulouse,1913.0,1979.0,Toulouse,male,France,"writer, painter",[],[]
Afro,"Art Informel, Lyrical Abstraction",Abstract Art,"{Art Informel:20},{Lyrical Abstraction:13}",33,Udine,1912.0,1976.0,Zürich,male,Italy,"painter, university teacher, jewelry designer, printmaker","['United States of America', 'Rome', 'California', 'Italy', 'Milan']","['United States of America:1950-1950', 'Rome:1938-1938', 'California:1957-1958', 'Italy:1958-1958', 'Milan:1932-1932']"
Akira Kanayama,Art Informel,Art Informel,{Art Informel:8},8,,,2006.0,,male,Japan,painter,[],[]
Albert Rafols-Casamada,Art Informel,Art Informel,{Art Informel:28},28,Barcelona,1923.0,2009.0,Barcelona,male,Spain,"writer, poet, painter",[],[]
Alberto Burri,"Art Informel, Expressionism, Spatialism",Art Informel,"{Art Informel:8},{Expressionism:2},{Spatialism:5}",15,Città di Castello,1915.0,1995.0,Nice,male,Italy,"pharmacist, artist, painter, sculptor, printmaker, collagist, land artist",['Rome'],['Rome:1946-1946']
Alfred Manessier,"Art Informel, Cubism, Lyrical Abstraction, Surrealism",Art Informel,"{Art Informel:39},{Cubism:3},{Lyrical Abstraction:5},{Surrealism:1}",48,Saint-Ouen,1911.0,1993.0,Orléans,male,France,"painter, graphic artist, glass artist, drawer, lithographer",['Netherlands'],['Netherlands:1956-1956']
Alighiero Boetti,"Art Informel, Cartographic Art, Conceptual Art, Lettrism, Minimalism",Arte Povera,"{Art Informel:15},{Cartographic Art:4},{Conceptual Art:17},{Lettrism:13},{Minimalism:3}",52,Turin,1940.0,1994.0,Rome,male,Italy,"photographer, painter, sculptor, visual artist, textile artist, performance artist, printmaker, drawer, installation artist, conceptual artist",['Italy'],[]
Andre Lanskoy,"Art Informel, Tachisme",Art Informel,"{Art Informel:9},{Tachisme:40}",49,Moscow,1902.0,1976.0,17th arrondissement of Paris,male,France,"mosaicist, painter, printmaker","['Paris', 'Kyiv']","['Paris:1921-1968', 'Kyiv:1920-1921']"
Andre-Pierre Arnal,"Art Informel, Cartographic Art, Color Field Painting, Conceptual Art, Minimalism",Art Informel,"{Art Informel:41},{Cartographic Art:6},{Color Field Painting:9},{Conceptual Art:1},{Minimalism:1}",58,Nîmes,1939.0,,,male,France,painter,[],[]
Antoni Tapies,"Art Informel, Expressionism, Surrealism, Tachisme, Unknown",Art Informel,"{Art Informel:38},{Expressionism:1},{Surrealism:3},{Tachisme:13},{Unknown:1}",56,Barcelona,1923.0,2012.0,Barcelona,male,Spain,"illustrator, painter, sculptor, graphic artist","['New York City', 'Barcelona', 'Hanover', 'Switzerland', 'Netherlands', 'Italy', 'Belgium', 'Paris']","['New York City:1953-1953', 'Barcelona:1942-1942', 'Hanover:1962-1962', 'Switzerland:1956-1956', 'Netherlands:1951-1951', 'Italy:1956-1957', 'Belgium:1951-1951', 'Paris:1951-1951']"
Antonio Areal,"Art Informel, Pop Art, Surrealism",Art Informel,"{Art Informel:5},{Pop Art:10},{Surrealism:10}",25,Porto,1934.0,1978.0,,male,Portugal,painter,[],[]
Antonio Palolo,"Art Informel, Color Field Painting, Neo-Expressionism, Pop Art",Neo-Expressionism,"{Art Informel:3},{Color Field Painting:11},{Neo-Expressionism:11},{Pop Art:10}",35,Évora,1946.0,2000.0,,male,Portugal,painter,[],[]
Antonio Sanfilippo,Art Informel,Art Informel,{Art Informel:21},21,Partanna,1923.0,1980.0,Rome,male,Italy,"painter, researcher",[],[]
Asger Jorn,"Art Informel, Neo-Dada, Tachisme, Unknown",Art Informel,"{Art Informel:19},{Neo-Dada:8},{Tachisme:11},{Unknown:2}",40,Vejrum Parish,1914.0,1973.0,Aarhus,male,Denmark,"art theorist, lithographer, drawer, printmaker, ceramicist, visual artist, sculptor, painter, graphic designer",[],[]
Aurel Cojan,"Art Informel, Expressionism, Tachisme",Art Informel,"{Art Informel:27},{Expressionism:3},{Tachisme:20}",50,Beceni,1914.0,2005.0,Paris,male,Romania,painter,[],[]
Bernard Schultze,Art Informel,Art Informel,{Art Informel:22},22,Piła,1915.0,2005.0,Cologne,male,Germany,"printmaker, graphic artist, sculptor, painter","['Cologne', 'Paris', 'Frankfurt', 'New York City', 'Berlin']","['Cologne:1968-1968', 'Paris:1951-1951', 'Frankfurt:1948-1968', 'New York City:1964-1964', 'Berlin:1945-1945']"
Carl Buchheister,"Art Informel, Constructivism, Dada",Dada,"{Art Informel:15},{Constructivism:5},{Dada:1}",21,Hanover,1890.0,1964.0,Hanover,male,Germany,"illustrator, painter","['Paris', 'Hildesheim']",[]
