artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
John Linnell,,,,,,,,,1863.0,1863.0,"London, England",,,"{London:8},{England:1}",No,
Joseph Stella,"Italian,American",Stieglitz group,"{American modernism:3},{Modern art:5},{Abstract art:1},{Futurism:2},{Futurism,Precisionism:35}",,,,,,1913.0,1939.0,"NY, New York City, US","Futurism:1913-1939,Precisionism:1924-1931","{Futurism:19}, {Precisionism:15}","{New York City:2},{NY:1},{US:1}",No,
Bridget Riley,British,,{Op Art:48},,,,,,1952.0,2012.0,"London, United Kingdom","Concretism:1966-1970,Color Field Painting:1971-2012,Hard Edge Painting:1989-2007,Op Art:1952-2005,Pointillism:1960-1960","{Concretism:4}, {Color Field Painting:8}, {Hard Edge Painting:8}, {Op Art:28}, {Pointillism:1}","{London:1},{United Kingdom:1}",Yes,
Robert Campin,Flemish,Flemish School,{Northern Renaissance:36},,"Jan van Eyck,","Rogier van der Weyden,Jacques Daret,",,,1410.0,1442.0,"London, Museo del Prado, UK, Spain, US, Germany, Brussels, Austria, Philadelphia, Vienna, Belgium, Berlin, Russia, Saint Petersburg, Frankfurt, France, Madrid, NY, PA, Main, New York City",Northern Renaissance:1410-1442,"{Netherlandish:1}, {Northern Renaissance:36}","{London:5},{UK:5},{Museo del Prado:6},{Madrid:6},{Spain:6},{Saint Petersburg:2},{Russia:2},{Vienna:1},{Austria:1},{Belgium:4},{Brussels:2},{Frankfurt:5},{Main:5},{Germany:7},{New York City:1},{NY:1},{US:2},{Berlin:2},{Philadelphia:1},{PA:1},{France:1}",No,
Ferdinand Hodler,Swiss,,"{Symbolism,Art Nouveau:256}",,"Fedir Krychevsky,Albin Egger-Lienz,",,,,1871.0,1918.0,"CA, Dallas, Switzerland, Sao Paulo, US, Germany, Wuppertal, Brazil, Los Angeles, Dresden, Austria, Vienna, Basel, Zürich, Russia, Saint Petersburg, Lausanne, Los Angeles County Museum of Art, Munich","Impressionism:1879-1885,Post-Impressionism:1882-1917,Realism:1878-1906,Romanticism:1871-1880,Art Nouveau (Modern):1885-1916,Symbolism:1887-1918","{Impressionism:6}, {Post-Impressionism:29}, {Realism:34}, {Romanticism:5}, {Art Nouveau (Modern):104}, {Symbolism:86}","{Switzerland:28},{Dresden:1},{Germany:6},{Zürich:11},{Dallas:1},{US:2},{Basel:5},{Wuppertal:3},{Saint Petersburg:1},{Russia:1},{Sao Paulo:1},{Brazil:1},{Munich:2},{Lausanne:2},{Vienna:1},{Austria:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:1}",No,
Julio González,,,"{Modern art:3},{Surrealism:3}",,,,,,1939.0,1939.0,,,,,No,
Joachim Wtewael,Dutch,,"{Dutch Golden Age:1},{Baroque:1},{Mannerism (Late Renaissance),Northern Renaissance:24}",,,,,,1595.0,1628.0,"London, CA, Museo del Prado, UK, Spain, MO, US, Germany, Netherlands, Chicago, St. Louis, IL, Budapest, Hague, Utrecht, Austria, San Francisco, Paris, Hungary, Munich, France, Madrid",Northern Renaissance:1595-1628,{Northern Renaissance:24},"{Utrecht:3},{Munich:1},{Germany:1},{Austria:1},{Museo del Prado:1},{Madrid:1},{Spain:1},{London:1},{UK:1},{Paris:1},{France:1},{Budapest:1},{Hungary:1},{Hague:1},{Netherlands:1},{Chicago:1},{IL:1},{US:3},{St. Louis:1},{MO:1},{San Francisco:2},{CA:1}",No,
Bartholomeus Spranger,,,,,,,,,,,Netherlands,,{Prague; Mannerism:1},{Netherlands:1},,
Ludovico Carracci,,,,,,,,,1583.0,1604.0,"London, Italy, Dublin",,{Italian:1},"{Italy:1},{London:2},{Dublin:2}",No,
Cai Guo-Qiang,,,,,,,,,1990.0,2004.0,,,,,Yes,
Carlo Crivelli,Italian,Venetian School,"{Italian Renaissance:1},{Renaissance:1},{Gothic art:1},{Early Renaissance:90}",,,,,,1460.0,1493.0,"London, Ascoli Piceno, UK, US, Netherlands, Germany, Washington DC, Vatican, Budapest, Milan, Victoria, Brussels, Italy, MA, Bonnefantenmuseum, Maastricht, Paris, Philadelphia, Hungary, Boston, Belgium, Frankfurt, France, NY, PA, Main, New York City",Early Renaissance:1460-1493,{Early Renaissance:90},"{Italy:18},{Ascoli Piceno:1},{Bonnefantenmuseum:1},{Maastricht:1},{Netherlands:1},{Vatican:1},{Paris:3},{France:3},{Milan:15},{London:5},{UK:5},{Boston:2},{MA:2},{US:5},{Frankfurt:3},{Main:3},{Germany:3},{Victoria:1},{Budapest:1},{Hungary:1},{New York City:1},{NY:1},{Washington DC:1},{Belgium:2},{Brussels:1},{Philadelphia:1},{PA:1}",No,
Antony Gormley,British,New British Sculpture,{Post-Minimalism:12},,,,,,1973.0,2007.0,"London, United Kingdom",Post-Minimalism:1973-2007,{Post-Minimalism:12},"{London:1},{United Kingdom:1}",Yes,
Samuel Scott,,,,,,,,,,,London,,,{London:20},,
Alvin Langdon Coburn,"American,British",,{Pictorialism:11},,,,,,1874.0,1917.0,"London, United States, New York City, England",Pictorialism:1904-1917,{Pictorialism:11},"{London:1},{England:2},{New York City:1},{United States:1}",No,
Frans Snyders,Flemish,Flemish School,{Baroque:58},,,,"Peter Paul Rubens,",,1600.0,1657.0,"London, Prague, Moscow, Museo del Prado, UK, Norway, Karlsruhe, Spain, US, Germany, Chicago, IL, Brussels, Italy, MA, Austria, Paris, Detroit, Stockholm, MI, Florence, Vienna, Nationalmuseum, Cologne, Belgium, Boston, Sweden, Dublin, Ireland, Czech Republic, Russia, Saint Petersburg, Antwerp, Oslo, Munich, France, Madrid",Baroque:1600-1657,{Baroque:58},"{Belgium:7},{Antwerp:1},{Oslo:1},{Norway:1},{Boston:1},{MA:1},{US:3},{Museo del Prado:5},{Madrid:5},{Spain:5},{Brussels:2},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Vienna:6},{Austria:6},{Paris:2},{France:2},{Moscow:2},{Russia:9},{Saint Petersburg:7},{Florence:1},{Italy:1},{Detroit:1},{MI:1},{Cologne:2},{Germany:4},{Munich:1},{London:1},{UK:1},{Dublin:1},{Ireland:1},{Chicago:1},{IL:1},{Prague:2},{Czech Republic:1},{Karlsruhe:1}",No,
Domenico Ghirlandaio,Italian,Florentine School,{Early Renaissance:108},"Hugo van der Goes,",,"Michelangelo,","Andrea del Verrochio,","Leonardo da Vinci,Sandro Botticelli,",1470.0,1494.0,"Galleria, Signoria, UK, Spain, Lisbon, US, Germany, Williamstown, Pisa, Portugal, Cambridge, Vatican, Budapest, Milan, Tokyo, Italy, MA, Paris, Bayonne, Hungary, Florence, Munich, France, NY, Madrid, Japan, New York City",Early Renaissance:1470-1494,"{XV CenturyItalian Painting:1}, {Early Renaissance:108}","{Bayonne:1},{France:4},{New York City:3},{NY:3},{US:4},{Pisa:2},{Italy:40},{Milan:1},{Budapest:3},{Hungary:3},{Galleria:1},{Cambridge:1},{UK:1},{Paris:3},{Florence:36},{Lisbon:1},{Portugal:1},{Munich:2},{Germany:2},{Madrid:1},{Spain:1},{Williamstown:1},{MA:1},{Tokyo:2},{Japan:1},{Signoria:3},{Vatican:2}",No,
Lin Fengmian,Chinese,,{Republic of China (1912–1949):33},,,,,,1960.0,1988.0,,"Post-Impressionism:1960-1977,Expressionism:1960-1988","{Naïve Art (Primitivism):7}, {Post-Impressionism:10}, {Expressionism:15}, {Cubism:4}",,,
Charles Rennie Mackintosh,British,Glasgow School,"{Arts and Crafts ,Art Nouveau:50}",,,,,,1892.0,1927.0,,Art Nouveau (Modern):1892-1927,{Art Nouveau (Modern):49},,No,
Hans Erni,,,,,,,,,,,Switzerland,,,{Switzerland:10},,
Fu Baoshi,Chinese,,{New Culture Movement (1915-1926):17},,,,,,1934.0,1964.0,,Ink and wash painting:1944-1964,{Ink and wash painting:17},,No,
Giovanni di Paolo,,,"{Italian Renaissance:1},{Renaissance:1},{Gothic art:2}",,,,,,1440.0,1460.0,"Italy, Tuscany",,,"{Tuscany:2},{Italy:2}",No,
Cecil W. Stoughton,,,,,,,,,1963.0,1965.0,,,,,No,
Pérez Celis,,,{Abstract art:4},,,,,,,,,,,,,
Richard Cosway,,,,,,,,,,,"London, England",,,"{England:1},{London:9}",,
Simone Martini,Italian,Sienese School,{Gothic Art:10},,"Ambrogio Lorenzetti,Pietro Lorenzetti,",,,,1319.0,1342.0,"Italy, Pisa, Siena, Milan, Bologna",International Gothic:1319-1342,"{Gotic/ Altarpiece:1}, {International Gothic:10}","{Siena:1},{Italy:4},{Milan:1},{Bologna:1},{Pisa:1}",No,
Paul Nash,,,,,,,,,1924.0,1942.0,,,,,No,
Anna Atkins,,,,,,,,,1853.0,1854.0,"London, England",,,"{England:4},{London:1}",No,
Frank Gehry,,,,,,,,,1994.0,1997.0,,,,,,
Jan Dirksz Both,Dutch,,{Baroque:30},"Claude Lorrain,","Aelbert Cuyp,",,,,1637.0,1652.0,"Netherlands, Utrecht, Budapest, Japan, Paris, France, Hungary, Tokyo, Holland",Baroque:1637-1652,"{Northern Netherlands School:1}, {Baroque:30}","{Utrecht:23},{Netherlands:5},{Holland:1},{Tokyo:1},{Japan:1},{Paris:1},{France:1},{Budapest:1},{Hungary:1}",No,
Charles Demuth,American,Stieglitz group,"{Modern art:1},{Precisionism:47}",,"Stuart Davis,Ralston Crawford,Abstract Expressionism,Pop Art,Charles Sheeler,",,,"George Ault,Georgia O'Keeffe,Arthur Dove,",1907.0,1933.0,"US, Fort Worth, New York City, NY","Precisionism:1917-1933,Expressionism:1914-1929,Cubism:1917-1917,Realism:1907-1907","{Precisionism:32}, {Expressionism:16}, {Cubism:1}, {Realism:1}","{Fort Worth:1},{US:3},{New York City:2},{NY:2}",No,
Joseph Ducreux,French,,{Rococo:10},,,,,,1769.0,1802.0,"Los Angeles, US, CA, Paris, France",Rococo:1769-1802,{Rococo:10},"{Paris:1},{France:1},{Los Angeles:1},{CA:1},{US:1}",No,
Marcel Duchamp,French,"Société des Artistes Indépendants (Society of Independent Artists),Section d'Or (Puteaux Group),Société Anonyme","{Dada,Surrealism:81}","Andy Warhol,Hiroshi Sugimoto,Damien Hirst,","Andy Warhol,Hiroshi Sugimoto,Damien Hirst,designs-and-sketches,monuments-and-statues,female-portraits,double-portraits,female-nude,male-portraits,reading-and-writing,",,"Académie Julian, Paris, France,","Florine Stettheimer,Constantin Brancusi,Man Ray,",1902.0,1966.0,"London, UK, US, Germany, Israel, Jerusalem, Italy, Paris, Stockholm, Philadelphia, Rouen, Sweden, Venice, New Haven, Stuttgart, France, NY, Düsseldorf, PA, New York City","Conceptual Art:1943-1966,Surrealism:1945-1966,Expressionism:1902-1958,Dada:1913-1947,Op Art:1923-1935,Kinetic Art:1913-1925,Cubism:1912-1914,Futurism:1912-1912,Post-Impressionism:1907-1911,Fauvism:1910-1910","{Expressionism:19}, {Surrealism:6}, {Conceptual Art:4}, {Dada:24}, {Op Art:2}, {Kinetic Art:4}, {Cubism:12}, {Futurism:4}, {Symbolism:2}, {Fauvism:7}, {Post-Impressionism:13}","{Philadelphia:23},{PA:23},{US:34},{Paris:5},{France:6},{Stockholm:1},{Sweden:1},{New Haven:1},{New York City:10},{NY:10},{London:2},{UK:2},{Stuttgart:2},{Germany:2},{Jerusalem:3},{Israel:3},{Düsseldorf:1},{Venice:1},{Italy:1},{Rouen:1}",No,
Andrew Wyeth,,,,,,,,,,,,,,,,
Carl Blechen,,,,,,,,,1829.0,1835.0,Germany,,,{Germany:1},No,
Man Ray,American,"École de Paris,Société Anonyme","{Dada,Surrealism:81}","Paul Cezanne,Auguste Rodin,Henri Matisse,Dada,Surrealism,","Andy Warhol,Laszlo Moholy-Nagy,Pop Art,Conceptual Art,",,,"Constantin Brancusi,Salvador Dali,Marcel Duchamp,Francis Picabia,Pablo Picasso,Alfred Stieglitz,",1908.0,1972.0,"US, NY, Canberra, Australia, New York City","Dada:1912-1969,Surrealism:1916-1948,Cubism:1908-1972,Abstract Art:1926-1926","{Dada:48}, {Surrealism:13}, {Cubism:12}, {Abstract Art:10}","{New York City:4},{NY:4},{US:4},{Canberra:1},{Australia:1}",No,
Francis Alÿs,,,,,,,,,2004.0,2004.0,,,,,Yes,
George Silk,,,,,,,,,1901.0,1972.0,,,,,No,
Sarah Lucas,,,,,,,,,1997.0,1997.0,,,,,,
Robert Nanteuil,,,{Baroque:2},,,,,,1643.0,1678.0,France,,,{France:29},No,
Nan Goldin,,,,,,,,,1988.0,2000.0,,,,,Yes,
Herman van Swanevelt,,,{Baroque:2},,,,,,1636.0,1645.0,Paris,,,{Paris:7},No,
Sadeler family,,,,,,,,,,,Antwerp,,,{Antwerp:1},,
Mario Schifano,"Italian,Lebanese",,{Pop Art:51},,"MUSEION Foundation. Museum of modern and contemporary art Bolzano,","Artists1/Mario Schifano/Segnaletico##SgEenpyGIOTLgQ.jpg,",,,1961.0,1991.0,,"Pop Art:1962-1990,Art Informel:1963-1991,Nouveau Réalisme:1961-1962","{Pop Art:16}, {Art Informel:33}, {Nouveau Réalisme:5}",,,
Chaim Soutine,"Jewish,Belarusian,Russian","École de Paris,La Ruche",{Expressionism:117},"Rembrandt,Francisco Goya,Gustave Courbet,Henri Matisse,Paul Cezanne,","Marc Chagall,Jean Dubuffet,Jackson Pollock,Willem de Kooning,Francis Bacon,Michel Kikoine,COBRA,Abstract Expressionism,Neo-Expressionism,",,,"Amedeo Modigliani,Michel Kikoine,Pinchus Kremegne,",1915.0,1942.0,"CA, UK, MO, Switzerland, US, Chicago, Germany, Washington DC, Kasama, St. Louis, Israel, IL, Geneva, Tokyo, NJ, Jerusalem, Los Angeles, Norwich, Haifa, Portland, Paris, ME, Philadelphia, d'Histoire, San Antonio, Palm Springs, Los Angeles County Museum of Art, Stuttgart, France, NY, Japan, PA, New York City",Expressionism:1915-1942,{Expressionism:98},"{Paris:14},{France:15},{New York City:4},{NY:4},{US:19},{d'Histoire:1},{Geneva:1},{Switzerland:2},{Jerusalem:1},{Israel:2},{Washington DC:2},{Norwich:1},{UK:1},{NJ:2},{Chicago:1},{IL:1},{Haifa:1},{Stuttgart:2},{Germany:1},{Kasama:1},{Japan:3},{PA:4},{Palm Springs:1},{CA:3},{Portland:1},{ME:1},{Los Angeles County Museum of Art:2},{Los Angeles:2},{Philadelphia:1},{St. Louis:1},{MO:1},{Tokyo:2},{San Antonio:1}",No,
Hans Makart,,,{Academic art:1},,,,,,1872.0,1883.0,Austria,,,{Austria:1},No,
Peter Carl Fabergé,,,,,,,,,1899.0,1917.0,"St. Petersburg, Russia",,,"{St. Petersburg:1},{Russia:1}",No,
Robert Rauschenberg,American,New York School,{Neo-Dada:1},,"Andy Warhol,Gerhard Richter,Wolfgang Tillmans,",,,"Cy Twombly,",1950.0,1963.0,"New York, United States",Abstract Expressionism:1950-1950,{Abstract Expressionism:1},"{New York:1},{United States:1}",No,
William Orpen,"British,Irish",,{Post-Impressionism:68},,,,,,1899.0,1930.0,"London, UK",Post-Impressionism:1899-1930,{Post-Impressionism:68},"{London:2},{UK:2}",No,
Franz Stuck,German,Munich Secession,"{Symbolism,Art Nouveau:81}",,,"Otto Mueller,",,"Artists2/Franz Stuck/Hunt 1899.jpg,",1887.0,1927.0,"Argentina, Münich, Russia, Bulgaria, Saint Petersburg, Budapest, Paris, France, Hungary","Symbolism:1887-1927,Art Nouveau (Modern):1891-1911","{Symbolism:73}, {Art Nouveau (Modern):8}","{Münich:1},{Argentina:1},{Saint Petersburg:1},{Russia:1},{Paris:1},{France:1},{Budapest:1},{Hungary:1},{Bulgaria:1}",No,
Eero Saarinen,,,,,,,,,1948.0,1965.0,"USA, New York",,,"{New York:4},{USA:2}",No,
Orazio Gentileschi,Italian,Caravaggisti,"{Baroque:2},{Mannerism:1},{Mannerism (Late Renaissance):29}",,,"Artemisia Gentileschi,",,"Agostino Tassi,Anthony van Dyck,",1603.0,1638.0,"Los Angeles, Berlin, Germany, Italy, US, Houston, CA, Paris, France, MFAH",Mannerism (Late Renaissance):1603-1638,{Mannerism (Late Renaissance):29},"{Italy:1},{Paris:2},{France:2},{Berlin:1},{Germany:1},{Los Angeles:1},{CA:1},{US:2},{MFAH:1},{Houston:1}",No,
Allaert van Everdingen,,,,,,,,,1644.0,1650.0,Netherlands,,,{Netherlands:170},No,
Alessandro Magnasco,,,{Baroque:4},,,,,,1705.0,1731.0,Italy,,,{Italy:2},No,
Wu Daozi,Chinese,Four fathers of Chinese painting,{Tang Dynasty (618–907):8},,,,,,,,,,,,,
Carl Gustav Carus,,,,,,,,,1819.0,1852.0,Germany,,,{Germany:2},No,
August Strindberg,,,,,,,,,,,"Sweden, Stockholm",,,"{Stockholm:1},{Sweden:1}",,
Fan Kuan,,,,,,,,,1031.0,1031.0,,,,,No,
Jacques-Laurent Agasse,,,,,,,,,,,"Great Britain, Geneva, England",,,"{England:11},{Geneva:4},{Great Britain:4}",,
Wu Guanzhong,Chinese,,{Republic of China (1912–1949):47},,,,,,1973.0,2008.0,,"Ink and wash painting:1973-2008,Post-Impressionism:1978-2001,Abstract Expressionism:1983-2008,Impressionism:1973-2002","{Ink and wash painting:47}, {Post-Impressionism:11}, {Abstract Expressionism:23}, {Impressionism:7}",,Yes,
Artus Quellinus the Elder,,,,,,,,,,,"Antwerp, Amsterdam",,,"{Amsterdam:11},{Antwerp:1}",,
Claude Mellan,,,,,,,,,,,France,,,{France:1},,
Maria Sibylla Merian,German,,{Baroque:35},,,,,,1680.0,1771.0,"London, US, Netherlands, UK, ME, Amsterdam","Baroque:1719-1719,Naturalism:1680-1717","{Baroque:2}, {Naturalism:35}","{Amsterdam:1},{Netherlands:1},{London:1},{UK:1},{ME:1},{US:1}",No,
Karl Blossfeldt,,,"{New Objectivity:2},{Modern art:1}",,,,,,1928.0,1932.0,"Berlin, Germany",,,"{Berlin:102},{Germany:6}",No,
George Morland,British,English school,{Rococo:87},,,,,,1702.0,1804.0,London,"Rococo:1702-1804,Regionalism:1794-1794","{Rococo:86}, {Regionalism:1}",{London:18},No,
Israhel van Meckenem,,,,,,,,,1490.0,1490.0,Germany,,,{Germany:1},No,
Stanisław Ignacy Witkiewicz,,,,,,,,,,,,,,,,
Henry Raeburn,British,Scottish School,{Romanticism:59},,,,,,1783.0,1822.0,"London, Museo del Prado, UK, Spain, Canada, Rome, US, Ottawa, NE, Omaha, Edinburgh, Paris, Russia, Saint Petersburg, France, NY, Fort Worth, Madrid, New York City",Romanticism:1783-1822,{Romanticism:58},"{Rome:1},{Fort Worth:1},{US:3},{Saint Petersburg:1},{Russia:1},{London:3},{UK:5},{Edinburgh:2},{New York City:1},{NY:1},{Paris:1},{France:1},{Museo del Prado:1},{Madrid:1},{Spain:1},{Ottawa:1},{Canada:1},{Omaha:1},{NE:1}",No,
J. Alden Weir,,,,,,,,,1896.0,1906.0,,,,,No,
Chen Hongshou,Chinese,,{Ming Dynasty (1368–1644):15},,,,,,1625.0,1649.0,China,Ink and wash painting:1625-1635,{Ink and wash painting:7},{China:1},No,
Henry Ossawa Tanner,American,,"{Symbolism:1},{Modern art:1},{Realism:100}",,,,,,1749.0,1950.0,"London, CA, Dallas, MO, US, Chicago, St. Louis, Washington DC, England, IL, Morocco, Hampton, IA, NJ, Los Angeles, Paris, Detroit, MI, Philadelphia, Des Moines, New Brunswick, VA, Los Angeles County Museum of Art, France, NY, Des Moines Art Center, PA, New York City, Kansas City","Impressionism:1893-1922,Realism:1876-1917,Symbolism:1907-1911","{Impressionism:37}, {Realism:59}, {Symbolism:4}","{London:1},{England:1},{Morocco:1},{Washington DC:7},{US:22},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:1},{Des Moines:2},{IA:2},{New York City:1},{NY:1},{St. Louis:1},{MO:2},{Dallas:1},{Des Moines Art Center:1},{Chicago:2},{IL:2},{New Brunswick:1},{NJ:1},{Philadelphia:3},{PA:3},{Detroit:1},{MI:1},{Paris:1},{France:1},{Kansas City:1},{Hampton:1},{VA:1}",No,
Alexandre Benois,Russian,Mir Iskusstva (World of Art),{Art Nouveau:77},,,,,"Ilya Repin,",1896.0,1957.0,"Georgia, Tbilisi","Art Nouveau (Modern):1900-1957,Post-Impressionism:1896-1911","{Art Nouveau (Modern):57}, {Post-Impressionism:20}","{Tbilisi:2},{Georgia:2}",No,
Roy Lichtenstein,American,,{Pop Art:119},"Fernand Leger,",,,,"Allan Kaprow,",1908.0,1994.0,"London, Iran, CA, Trento, UK, KS, Spain, Canberra, MO, Richmond, Switzerland, Lisbon, Ulm, America, San Diego, US, Germany, St. Louis, Riehen, Chicago, MN, Israel, Portugal, IL, St. Gallen, Rovereto, Minneapolis, Finland, Waltham, Edinburgh, Australia, New York City, Tehran, Los Angeles, Italy, Naples, Kuenzelsau, Albertina, Helsinki, MA, Austria, Tel Aviv, San Francisco, Kiasma, Norfolk, Detroit, MI, Aachen, Philadelphia, Buffalo, Vienna, Moenchengladbach, Zürich, Cologne, Berlin, Russia, Saint Petersburg, Frankfurt, VA, New Haven, Stuttgart, NY, Madrid, Fort Worth, PA, United States","Pop Art:1954-1994,Cubism:1963-1980,Surrealism:1991-1992,Abstract Art:1964-1989,Expressionism:1984-1987","{Pop Art:85}, {Cubism:9}, {Surrealism:1}, {Abstract Art:18}, {Expressionism:3}","{United States:1},{America:1},{New York City:14},{NY:15},{US:35},{London:2},{UK:3},{Lisbon:2},{Portugal:2},{Detroit:1},{MI:1},{Tel Aviv:1},{Israel:1},{Berlin:4},{Germany:22},{Albertina:2},{Vienna:5},{Austria:5},{St. Louis:4},{MO:4},{Aachen:4},{San Francisco:1},{CA:4},{Kuenzelsau:1},{Philadelphia:1},{PA:1},{Riehen:1},{Switzerland:4},{Cologne:8},{San Diego:1},{Kiasma:1},{Helsinki:1},{Finland:1},{Ulm:1},{Frankfurt:2},{Chicago:1},{IL:1},{St. Gallen:1},{Zürich:2},{Saint Petersburg:1},{Russia:1},{Minneapolis:1},{MN:1},{Trento:1},{Rovereto:1},{Italy:2},{Richmond:1},{VA:2},{Naples:1},{New Haven:2},{Madrid:1},{Spain:1},{Edinburgh:1},{Tehran:1},{Iran:1},{Los Angeles:2},{Stuttgart:2},{KS:1},{Norfolk:1},{Canberra:1},{Australia:1},{Buffalo:1},{Waltham:1},{MA:1},{Fort Worth:1},{Moenchengladbach:1}",,
Johan Jongkind,,,,,,,,,1856.0,1866.0,Paris,Impressionist:1866-1866,{Impressionist:1},{Paris:2},No,
Rembrandt Peale,,,,,,,,,1808.0,1850.0,"United States, PA, Philadelphia",,,"{Philadelphia:1},{PA:1},{United States:1}",No,
