style,artist,movement,count
Color Field Painting,Leon Berkowitz,Post-Painterly Abstraction,31
Color Field Painting,Lorser Feitelson,Surrealism,1
Color Field Painting,Mario Cesariny,Surrealism,9
Color Field Painting,Mark Rothko,Abstract Art,104
Color Field Painting,Matsutani,Art Informel,4
Color Field Painting,Michel Carrade,Art Informel,17
Color Field Painting,Morris Louis,Abstract Expressionism,100
Color Field Painting,Olivier Debre,Art Informel,2
Color Field Painting,Pat Lipsky,Abstract Expressionism,2
Color Field Painting,Patrick Heron,Art Informel,4
Color Field Painting,Paul Feeley,Post-Painterly Abstraction,43
Color Field Painting,Paul Jenkins,Abstract Art,5
Color Field Painting,Paul Reed,Post-Painterly Abstraction,11
Color Field Painting,Pedro Calapez,Abstract Expressionism,16
Color Field Painting,Perle Fine,Abstract Art,17
Color Field Painting,Peter Busa,Abstract Expressionism,4
Color Field Painting,Peter Joseph,Minimalism,3
Color Field Painting,Piero Dorazio,Post-Painterly Abstraction,11
Color Field Painting,Ray Parker,Abstract Expressionism,16
Color Field Painting,Richard Diebenkorn,Abstract Expressionism,17
Color Field Painting,Robert Goodnough,Abstract Art,1
Color Field Painting,Ron Gorchov,Post-Painterly Abstraction,13
Color Field Painting,Ronnie Landfield,Abstract Expressionism,22
Color Field Painting,Rupprecht Geiger,Post-Painterly Abstraction,21
Color Field Painting,Sam Gilliam,Abstract Expressionism,8
Color Field Painting,Sean Scully,Post-Minimalism,7
Color Field Painting,Sven Lukin,Post-Painterly Abstraction,17
Color Field Painting,Theodoros Stamos,Abstract Expressionism,60
Color Field Painting,Thomas Downing,Post-Painterly Abstraction,1
Color Field Painting,Victor Pasmore,Abstract Art,6
Color Field Painting,Walter Darby Bannard,Post-Painterly Abstraction,9
Color Field Painting,Warren Rohrer,Minimalism,1
Color Field Painting,William Turnbull,Abstract Expressionism,3
Color Field Painting,Yves Gaucher,Minimalism,11
Conceptual Art,Abbas Kiarostami,Contemporary,1
Conceptual Art,Adrian Piper,Performance Art,2
Conceptual Art,Ai Weiwei,Conceptual Art,17
Conceptual Art,Aki Kuroda,Contemporary,2
Conceptual Art,Alberto Gironella,Surrealism,1
Conceptual Art,Alfio Giuffrida,Minimalism,41
Conceptual Art,Alfred Freddy Krupa,New Ink Art,2
Conceptual Art,Alfredo Jaar,Conceptual Art,5
Conceptual Art,Alighiero Boetti,Arte Povera,17
Conceptual Art,Allan Kaprow,Performance Art,7
Conceptual Art,Allan McCollum,Conceptual Art,20
Conceptual Art,Allen Ruppersberg,Conceptual Art,15
Conceptual Art,Amir Baradaran,Relational Art,13
Conceptual Art,Andre-Pierre Arnal,Art Informel,1
Conceptual Art,Anima Ehtiat,Conceptual Art,10
Conceptual Art,Anselm Kiefer,Neo-Expressionism,7
Conceptual Art,Arne Quinze,Contemporary,12
Conceptual Art,Arsen Savadov,Conceptual Art,143
Conceptual Art,Ayse Erkmen,Conceptual Art,9
Conceptual Art,Banksy,Street art,6
Conceptual Art,Barbara Kruger,Feminist Art,11
Conceptual Art,Barkley L. Hendricks,Pop Art,10
Conceptual Art,Barton Lidice Benes,Conceptual Art,17
Conceptual Art,Bas Jan Ader,Conceptual Art,10
Conceptual Art,Ben,Lettrism,23
Conceptual Art,Benoit Maire,Contemporary,8
Conceptual Art,Bernd and Hilla Becher,Conceptual Art,13
Conceptual Art,Billy Apple,Pop Art,12
Conceptual Art,Bob Law,Minimalism,1
Conceptual Art,Carsten Holler,Relational Art,10
Conceptual Art,Christian Boltanski,Conceptual Art,10
Conceptual Art,Cildo Meireles,Conceptual Art,14
Conceptual Art,Claude Rutault,Conceptual Art,14
Conceptual Art,Claudio Castillo,Contemporary,1
Conceptual Art,Cornelia Parker,Conceptual Art,24
Conceptual Art,Damien Hirst,Conceptual Art,14
Conceptual Art,Danh Vō,Conceptual Art,16
Conceptual Art,Daniel Dezeuze,Conceptual Art,2
Conceptual Art,Dennis Oppenheim,Conceptual Art,2
Conceptual Art,Do Ho Suh,Conceptual Art,10
Conceptual Art,Dominique Gonzalez-Foerster,Relational Art,10
Conceptual Art,Douglas Huebler,Conceptual Art,13
Conceptual Art,Eduardo Nery,Abstract Illusionism,1
Conceptual Art,Eduardo Paolozzi,Pop Art,1
Conceptual Art,Edward Ruscha,Pop Art,10
Conceptual Art,Erik Bulatov,Sots Art,11
Conceptual Art,Eva Hesse,Arte Povera,1
Conceptual Art,Felix Gonzalez-Torres,Conceptual Art,9
Conceptual Art,Fernando Calhau,Minimalism,1
Conceptual Art,Francis Naranjo,Conceptual Art,37
Conceptual Art,Fusun Onur,Feminist Art,1
Conceptual Art,Gerard Fromanger,Pop Art,1
Conceptual Art,Gerhard Richter,Abstract Art,1
Conceptual Art,Giovanni Anselmo,Arte Povera,8
Conceptual Art,Giulio Paolini,Arte Povera,9
Conceptual Art,Giuseppe Pinot-Gallizio,Art Informel,1
Conceptual Art,Hanne Darboven,Conceptual Art,15
Conceptual Art,Hans Haacke,Conceptual Art,16
Conceptual Art,Haralampi G. Oroschakoff,Neo-Expressionism,12
Conceptual Art,Harriet Bart,Feminist Art,11
Conceptual Art,Hedda Sterne,Surrealism,1
Conceptual Art,Helena Almeida,Conceptual Art,15
Conceptual Art,Helio Oiticica,Neo-Concretism,2
Conceptual Art,Herman de Vries,Conceptual Art,5
Conceptual Art,Hifa Cybe,Performance Art,2
Conceptual Art,Hiroshi Sugimoto,Minimalism,4
Conceptual Art,Hito Steyerl,Conceptual Art,17
Conceptual Art,Horia Bernea,Neo-Orthodoxism,2
Conceptual Art,Howardena Pindell,Abstract Expressionism,2
Conceptual Art,Hubertine Heijermans,Contemporary Realism,4
Conceptual Art,Iain Baxter&,Conceptual Art,10
Conceptual Art,Ian Burn,Conceptual Art,8
Conceptual Art,Ilya Isupov,Outsider art (Art brut),2
Conceptual Art,Ilya Kabakov,Conceptual Art,20
Conceptual Art,Ion Bitzan,Conceptual Art,23
Conceptual Art,Ion Grigorescu,Performance Art,2
Conceptual Art,Irma Blank,Minimalism,6
Conceptual Art,Isa Genzken,Conceptual Art,16
Conceptual Art,James Lee Byars,Conceptual Art,5
Conceptual Art,Jammie Holmes,Neo-Expressionism,5
Conceptual Art,Jan Dibbets,Conceptual Art,10
Conceptual Art,Jiro Yoshihara,Art Informel,1
Conceptual Art,Joan Hernandez Pijuan,Minimalism,2
Conceptual Art,Joao Vieira,Lettrism,3
Conceptual Art,John Baldessari,Conceptual Art,11
Conceptual Art,John Hilliard,Conceptual Art,10
Conceptual Art,Joseph Beuys,Neo-Dada,9
Conceptual Art,Joseph Kosuth,Conceptual Art,23
Conceptual Art,Juliao Sarmento,Conceptual Art,11
Conceptual Art,Jurgen Partenheimer,Conceptual Art,1
Conceptual Art,Kaloust Guedel,Excessivism,2
Conceptual Art,Kazuo Shiraga,Abstract Expressionism,2
Conceptual Art,Lara Almarcegui,Conceptual Art,10
Conceptual Art,Lawrence Weiner,Conceptual Art,23
Conceptual Art,Leon Ferrari,Conceptual Art,21
Conceptual Art,Leon Tarasewicz,Contemporary,3
Conceptual Art,Li Yuan-chia,Abstract Art,3
Conceptual Art,Liam Gillick,Relational Art,10
Conceptual Art,Lorenzo Belenguer,Conceptual Art,2
Conceptual Art,Lorna Simpson,Feminist Art,6
Conceptual Art,Lothar Baumgarten,Conceptual Art,10
Conceptual Art,Louise Bourgeois,Confessional Art,40
Conceptual Art,Lourdes Castro,Pop Art,5
Conceptual Art,Lubo Kristek,Surrealism,3
Conceptual Art,Luis Camnitzer,Conceptual Art,20
Conceptual Art,Lygia Clark,Neo-Concretism,3
Conceptual Art,Lygia Pape,Neo-Concretism,34
Conceptual Art,Manfred Kielnhofer,Contemporary,5
Conceptual Art,Marcel Broodthaers,Conceptual Art,32
Conceptual Art,Marcel Duchamp,Dada,3
Conceptual Art,Maria Lai,Contemporary,6
Conceptual Art,Marko Pogacnik,Pop Art,1
Conceptual Art,Markus Raetz,Op Art,13
Conceptual Art,Martha Rosler,Feminist Art,4
Conceptual Art,Martin Creed,Conceptual Art,7
Conceptual Art,Martin Kippenberger,Neo-Expressionism,9
Conceptual Art,Matthew Barney,Performance Art,6
Conceptual Art,Maurizio Cattelan,Relational Art,12
Conceptual Art,Mel Bochner,Conceptual Art,18
Conceptual Art,Mel Ramsden,Conceptual Art,5
Conceptual Art,Michelangelo Pistoletto,Arte Povera,16
Conceptual Art,Mierle Laderman Ukeles,Performance Art,2
Conceptual Art,Mihai Olos,Conceptual Art,21
Conceptual Art,Mira Schendel,Abstract Art,3
Conceptual Art,Mircea Cantor,Neo-Dada,14
Conceptual Art,Mladen Stilinovic,Conceptual Art,26
Conceptual Art,Mona Hatoum,Conceptual Art,4
Conceptual Art,Navjot Altaf,Feminist Art,5
Conceptual Art,Oleh Sokolov,Abstract Art,7
Conceptual Art,Oleksandr Hnylyzkyj,Transavantgarde,3
Conceptual Art,Olivier Mosset,Conceptual Art,2
Conceptual Art,On Kawara,Mail Art,13
Conceptual Art,Oyvind Fahlstrom,Neo-Dada,3
Conceptual Art,Paul Thek,Pop Art,8
Conceptual Art,Piero Manzoni,Arte Povera,5
Conceptual Art,Pierre Huyghe,Relational Art,10
Conceptual Art,Qin Yufen,Post-Minimalism,2
Conceptual Art,Rafal Bujnowski,New European Painting,2
Conceptual Art,Ralph Hotere,Minimalism,6
Conceptual Art,Rebecca Horn,Performance Art,3
Conceptual Art,Richard Artschwager,Pop Art,23
Conceptual Art,Richard Hambleton,Street art,4
Conceptual Art,Richard Prince,Conceptual Art,10
Conceptual Art,Rirkrit Tiravanija,Relational Art,10
Conceptual Art,Robert Barry,Conceptual Art,18
Conceptual Art,Robert Filliou,Mail Art,1
Conceptual Art,Robert Gober,Conceptual Art,10
Conceptual Art,Robert Heinecken,Conceptual Art,2
Conceptual Art,Robert MacPherson,Conceptual Art,13
Conceptual Art,Robert Morris,Minimalism,9
Conceptual Art,Robert Rauschenberg,Neo-Dada,1
Conceptual Art,Roberto Chabet,Conceptual Art,6
Conceptual Art,Roman Opalka,Conceptual Art,14
Conceptual Art,Romul Nutiu,Abstract Art,10
Conceptual Art,Roni Horn,Minimalism,15
Conceptual Art,Sherrie Levine,Conceptual Art,5
Conceptual Art,Siah Armajani,Conceptual Art,19
Conceptual Art,Sigmar Polke,New European Painting,3
Conceptual Art,Sol LeWitt,Conceptual Art,3
Conceptual Art,Sonya Rapoport,CyberArt,2
Conceptual Art,Stanley Brouwn,Conceptual Art,10
Conceptual Art,Stephen Prina,Relational Art,11
Conceptual Art,Stig Brøgger,Conceptual Art,6
Conceptual Art,Tadashi Kawamata,Conceptual Art,20
Conceptual Art,Takamatsu Jiro,Post-Minimalism,1
Conceptual Art,Thomas Hirschhorn,Conceptual Art,15
Conceptual Art,Tracey Emin,Conceptual Art,12
Conceptual Art,Tsuruko Yamazaki,Abstract Expressionism,4
Conceptual Art,Valentin Khrushch,Abstract Art,3
Conceptual Art,Valerii Lamakh,Socialist Realism,56
Conceptual Art,Vasiliy Ryabchenko,Expressionism,6
Conceptual Art,Vik Muniz,Conceptual Art,22
Conceptual Art,Viktor Pivovarov,Soviet Nonconformist Art,15
Conceptual Art,Vito Acconci,Conceptual Art,10
Conceptual Art,Wade Guyton,Conceptual Art,4
Conceptual Art,Walter Battiss,Abstract Art,3
Conceptual Art,Walter De Maria,Minimalism,1
Conceptual Art,Wanda Koop,Contemporary,3
Conceptual Art,Wolfgang Laib,Conceptual Art,9
Conceptual Art,Yayoi Kusama,Feminist Art,1
Conceptual Art,Yoko Ono,Feminist Art,1
Concretism,Adolf Fleischmann,Op Art,18
Concretism,Bridget Riley,Op Art,4
Concretism,Bruno Munari,Futurism,25
Concretism,Cesar Domela,Abstract Art,29
Concretism,Dieter Roth,Neo-Dada,2
Concretism,Ellsworth Kelly,Post-Painterly Abstraction,14
Concretism,Enrique Silvestre,Outsider art (Art brut),6
Concretism,Francis Bott,Surrealism,6
Concretism,Francois Morellet,Op Art,2
Concretism,Friedrich Vordemberge-Gildewart,Abstract Art,21
Concretism,Georges Vantongerloo,Abstract Art,20
Concretism,Gregorio Vardanega,Kinetic art,3
Concretism,Gyula Kosice,Kinetic art,4
Concretism,Henryk Stazewski,Constructivism,21
Concretism,Ivan Serpa,Neo-Concretism,19
Concretism,Leo Leuppi,Cubism,20
Concretism,Leon Arthur Tutundjian,Surrealism,7
Concretism,Lothar Charoux,Op Art,10
Concretism,Ludwig Wilding,Kinetic art,1
Concretism,Luis Sacilotto,Op Art,3
Concretism,Lygia Clark,Neo-Concretism,3
Concretism,Lygia Pape,Neo-Concretism,9
Concretism,Mario Ballocco,Op Art,11
Concretism,Mathias Goeritz,Minimalism,2
Concretism,Richard Paul Lohse,Constructivism,39
Concretism,Roberto Sambonet,Conceptual Art,6
Concretism,Rubem Ludolf,Kinetic art,7
Concretism,Wladyslaw Strzeminski,Abstract Art,4
Concretism,Yaacov Agam,Kinetic art,7
Confessional Art,Louise Bourgeois,Confessional Art,112
Constructivism,Aleksandra Ekster,Suprematism,5
Constructivism,Alexander Khvostenko-Khvostov,Avant-garde,4
Constructivism,Alexander Rodchenko,Avant-garde,53
Constructivism,Anatol Petrytsky,Avant-garde,5
Constructivism,Anton Prinner,Cubism,5
Constructivism,Carl Buchheister,Dada,5
Constructivism,Edgar Negret,Constructivism,10
Constructivism,El Lissitzky,Abstract Art,58
Constructivism,Erich Buchholz,Constructivism,19
Constructivism,Fernand Leger,Cubism,9
Constructivism,Félix Del Marle,Abstract Art,5
Constructivism,Gyula Kosice,Kinetic art,2
Constructivism,György Kepes,Constructivism,16
Constructivism,Henry van de Velde,Neo-Impressionism,2
Constructivism,Henryk Berlewi,Constructivism,9
Constructivism,Janos Mattis-Teutsch,Constructivism,7
Constructivism,Jean David,Surrealism,6
Constructivism,Johannes Itten,Expressionism,1
Constructivism,Josef Albers,Abstract Art,13
Constructivism,José Pedro Costigliolo,Cubism,5
Constructivism,Katarzyna Kobro,Constructivism,9
Constructivism,Kazimir Malevich,Abstract Art,25
Constructivism,Lajos Kassak,Constructivism,17
Constructivism,Laszlo Moholy-Nagy,Constructivism,32
Constructivism,Le Corbusier,Cubism,8
Constructivism,Ludwig Mies van der Rohe,Constructivism,7
Constructivism,Lyubov Popova,Cubism,3
Constructivism,M. H. Maxy,Cubism,14
Constructivism,Marcel Janco,Dada,3
Constructivism,Margit Selska,Post-Impressionism,1
Constructivism,Mommie Schwarz,Expressionism,1
Constructivism,Naum Gabo,Constructivism,4
Constructivism,Oskar Schlemmer,Constructivism,20
Constructivism,Peter Laszlo Peri,Social Realism,10
Constructivism,Petre Otskheli,Avant-garde,5
Constructivism,Ramirez Villamizar,Constructivism,17
Constructivism,Sandor Bortnyik,Constructivism,4
Constructivism,Saul Steinberg,Outsider art (Art brut),1
Constructivism,Sophie Taeuber-Arp,Dada,12
Constructivism,Theo van Doesburg,Abstract Art,31
Constructivism,Vadym Meller,Expressionism,5
Constructivism,Vasyl Yermylov,Avant-garde,18
Constructivism,Victor Brauner,Expressionism,1
Constructivism,Victor Pasmore,Abstract Art,4
Constructivism,Vladimir Tatlin,Abstract Art,7
Constructivism,Vytautas Kairiukstis,Cubism,3
Constructivism,Willi Baumeister,Abstract Art,3
Contemporary,Alfred Freddy Krupa,New Ink Art,17
Contemporary,Anima Ehtiat,Conceptual Art,5
Contemporary,Arne Quinze,Contemporary,4
Contemporary,Arsen Savadov,Conceptual Art,15
Contemporary,Cameron Platter,Contemporary,22
Contemporary,Charuvi Agrawal,Contemporary,5
Contemporary,Cristiano Tassinari,Contemporary,1
Contemporary,David Michael Hinnebusch,Neo-Expressionism,6
Contemporary,Elina Brotherus,Contemporary,133
Contemporary,Ellen Gallagher,Contemporary,5
Contemporary,EtchingRoom1,Contemporary,66
Contemporary,Eva Janina Wieczorek,Surrealism,3
Contemporary,Francis A. Willey,Contemporary,15
Contemporary,Gian Maria Tosatti,Contemporary,38
Contemporary,Harriet Bart,Feminist Art,4
Contemporary,Hifa Cybe,Performance Art,6
Contemporary,Houria Niati,Contemporary,15
Contemporary,Iseult Labote,Contemporary,15
Contemporary,Joseph Dadoune,Postcolonial art,7
Contemporary,Justin Earl Grant,Contemporary,10
Contemporary,Kaloust Guedel,Excessivism,4
Contemporary,Kateryna Lysovenko,Contemporary,34
Contemporary,Kinder Album,Contemporary,128
Contemporary,Lalla Essaydi,Feminist Art,67
Contemporary,Lech Twardowski,Contemporary,20
Contemporary,Marina Pallares,Magic Realism,61
Contemporary,Matthew Barney,Performance Art,1
Contemporary,Nan Goldin,Feminist Art,17
Contemporary,Nina Tokhtaman Valetova,Magic Realism,6
Contemporary,Paula Klien,Abstract Expressionism,7
Contemporary,Pavlo Makov,Contemporary,129
Contemporary,Rodrigo Franzao,Contemporary,54
Contemporary,Shadi Ghadirian,Feminist Art,2
Contemporary,Vasiliy Ryabchenko,Expressionism,27
Contemporary,Yinka Shonibare,Postcolonial art,34
Contemporary,[ a y s h ],Futurism,9
Contemporary Realism,Agim Sulaj,Surrealism,33
Contemporary Realism,Alberto Sughi,Expressionism,4
Contemporary Realism,Alejandro Cabeza,Contemporary Realism,29
Contemporary Realism,Alex Colville,Precisionism,51
Contemporary Realism,Alfred Freddy Krupa,New Ink Art,68
Contemporary Realism,Andrew Wyeth,Regionalism,116
Contemporary Realism,Antonio Lopez Garcia,Magic Realism,3
Contemporary Realism,Arsen Savadov,Conceptual Art,4
Contemporary Realism,Avigdor Arikha,Expressionism,59
Contemporary Realism,Aydin Aghdashloo,Neo-Expressionism,7
Contemporary Realism,Charles Garabedian,Contemporary Realism,28
Contemporary Realism,Charly Palmer,Contemporary Realism,13
Contemporary Realism,Consuelo Hernández,Magic Realism,8
Contemporary Realism,Craig Mullins,Contemporary Realism,8
Contemporary Realism,Cricorps,Impressionism,3
Contemporary Realism,Cristiano Tassinari,Contemporary,9
Contemporary Realism,D. Jeffrey Mims,Classical Realism,10
Contemporary Realism,Dana Levin,Classical Realism,7
Contemporary Realism,Devin Leonardi,Contemporary Realism,15
Contemporary Realism,Dimitris Mytaras,Expressionism,4
Contemporary Realism,Dmitri Zhilinsky,Socialist Realism,9
Contemporary Realism,Donald Sultan,New Image Painting,2
Contemporary Realism,Eduardo Berliner,Neo-Expressionism,4
Contemporary Realism,Eleonora Brigalda Barbas,Contemporary,1
Contemporary Realism,Enrique Martínez Celaya,Contemporary Realism,17
Contemporary Realism,Eric Fischl,Neo-Expressionism,74
Contemporary Realism,Erik Sigerud,Contemporary,4
Contemporary Realism,Erro,Pop Art,1
Contemporary Realism,Eva Janina Wieczorek,Surrealism,1
Contemporary Realism,Fairfield Porter,Contemporary Realism,23
Contemporary Realism,Fernando García Ponce,Abstract Art,3
Contemporary Realism,Gazmend Freitag,Contemporary Realism,191
Contemporary Realism,Georg Miciú,Contemporary Realism,15
Contemporary Realism,Gilles Aillaud,Contemporary Realism,18
Contemporary Realism,Goran Vojinovic,Classical Realism,2
Contemporary Realism,Graydon Parrish,Contemporary Realism,12
Contemporary Realism,Haroutiun Galentz,Cubism,1
Contemporary Realism,Henri Matisse,Impressionism,5
Contemporary Realism,Hubertine Heijermans,Contemporary Realism,4
Contemporary Realism,Ian Bent,Surrealism,3
Contemporary Realism,Ilya Isupov,Outsider art (Art brut),8
Contemporary Realism,Ivan Eyre,Surrealism,15
Contemporary Realism,Jacob Collins,Classical Realism,10
Contemporary Realism,Jamie Wyeth,Contemporary Realism,114
Contemporary Realism,Jane Wilson,Contemporary Realism,11
Contemporary Realism,Janet Fish,Contemporary Realism,25
Contemporary Realism,Jeffrey Smart,Precisionism,73
Contemporary Realism,Jesús Meneses del Barco,Contemporary Realism,21
Contemporary Realism,John Currin,Kitsch,5
Contemporary Realism,John Miller,Contemporary,77
Contemporary Realism,John Stuart Ingle,Contemporary Realism,2
Contemporary Realism,Joseph Dadoune,Postcolonial art,2
Contemporary Realism,Joseph Lorusso,Contemporary Realism,18
Contemporary Realism,Kent Bellows,Contemporary Realism,6
Contemporary Realism,Kexin Di,Kitsch,10
Contemporary Realism,Lucian Freud,Expressionism,15
Contemporary Realism,Manfred Kielnhofer,Contemporary,1
Contemporary Realism,Marlene Dumas,Neo-Expressionism,2
Contemporary Realism,Martha Rosler,Feminist Art,2
Contemporary Realism,Martin Yeoman,Contemporary Realism,25
Contemporary Realism,Mihai Sârbulescu,Expressionism,4
Contemporary Realism,Morteza Katouzian,Contemporary Realism,13
Contemporary Realism,Mostafa Dashti,Contemporary,10
Contemporary Realism,Neil Welliver,Contemporary Realism,67
Contemporary Realism,Nelson Shanks,Classical Realism,8
Contemporary Realism,Neo Rauch,Social Realism,2
Contemporary Realism,Norman Ackroyd,Contemporary Realism,16
Contemporary Realism,Odd Nerdrum,Kitsch,10
Contemporary Realism,Omer Mujadžić,Expressionism,3
Contemporary Realism,Paul Wonner,Contemporary Realism,12
Contemporary Realism,Peter Dreher,Conceptual Art,10
Contemporary Realism,Philip Pearlstein,Contemporary Realism,15
Contemporary Realism,Pietropoli Patrick,Contemporary Realism,52
Contemporary Realism,Rafal Bujnowski,New European Painting,2
Contemporary Realism,Rashid Al Khalifa,Contemporary Realism,6
Contemporary Realism,Richard Whitney,Contemporary Realism,35
Contemporary Realism,Samira Eskandarfar,Neo-Figurative Art,1
Contemporary Realism,Sergey Belik,Magic Realism,10
Contemporary Realism,Sun Mu,Socialist Realism,3
Contemporary Realism,Tahir Salahov,Socialist Realism,3
Contemporary Realism,Teddy Cobeña,Expressionism,1
Contemporary Realism,Wanda Koop,Contemporary,3
Contemporary Realism,Zoe Lerman,Soviet Nonconformist Art,2
Costumbrismo,Antonio Cabral Bejarano,Romanticism,12
Costumbrismo,Joaquin Manuel Fernandez Cruzado,Romanticism,3
Costumbrismo,Joaquín Agrasot,Realism,11
Costumbrismo,Joaquín Domínguez Bécquer,Romanticism,22
Costumbrismo,José Garnelo,Naturalism,41
Costumbrismo,Leonardo Alenza,Romanticism,4
Costumbrismo,Manuel Rodriguez de Guzman,Romanticism,11
Costumbrismo,Marià Fortuny,Romanticism,10
Costumbrismo,Rafael García Hispaleto (El Hispaleto),Romanticism,5
Cubism,Aaron Douglas,Harlem Renaissance (New Negro Movement),1
Cubism,Abraham Manievich,Expressionism,1
Cubism,Adolf Fleischmann,Op Art,1
Cubism,Adolph Gottlieb,Abstract Expressionism,1
Cubism,Albert Gleizes,Cubism,33
Cubism,Alberto Magnelli,Abstract Art,4
Cubism,Alekos Kontopoulos,Social Realism,5
Cubism,Alexander Bogen,Expressionism,1
Cubism,Alexander Roitburd,Transavantgarde,1
Cubism,Alexis Gritchenko,Expressionism,1
Cubism,Alfred Manessier,Art Informel,3
Cubism,Alice Bailly,Post-Impressionism,7
Cubism,Alla Horska,Socialist Realism,3
Cubism,Allan Kaprow,Performance Art,2
Cubism,Amadeo de Souza-Cardoso,Expressionism,26
Cubism,Anatol Petrytsky,Avant-garde,5
Cubism,Andre Derain,Post-Impressionism,13
Cubism,Andre Masson,Surrealism,16
Cubism,André Lhote,Cubism,17
Cubism,Anita Malfatti,Modernismo,3
Cubism,Anton Prinner,Cubism,4
Cubism,Aristarkh Lentulov,Avant-garde,4
Cubism,Arshile Gorky,Surrealism,18
Cubism,Arthur Beecher Carles,Post-Impressionism,2
Cubism,Arthur Segal,Expressionism,2
Cubism,Auguste Herbin,Post-Impressionism,22
Cubism,Beauford Delaney,Modernism,4
Cubism,Bela Kadar,Expressionism,8
Cubism,Ben Nicholson,Cubism,17
Cubism,Bertalan Por,Post-Impressionism,1
Cubism,Bice Lazzari,Art Informel,1
Cubism,Brett Whiteley,Neo-Expressionism,1
Cubism,Bruno Cassinari,Expressionism,3
Cubism,C. R. W. Nevinson,Cubism,15
Cubism,Candido Portinari,Modernismo,3
Cubism,Carlo Carra,Futurism,2
Cubism,Carlos Merida,Muralism,25
Cubism,Carlos Quizpez Asín,Cubism,3
Cubism,Carlos Saenz de Tejada,Expressionism,3
Cubism,Charles Alston,Harlem Renaissance (New Negro Movement),7
Cubism,Charles Lapicque,Tachisme,1
Cubism,Christian Schad,Dada,2
Cubism,Corneliu Michailescu,Cubism,4
Cubism,Cricorps,Impressionism,2
Cubism,David Bomberg,Cubism,6
Cubism,David Kakabadze,Realism,7
Cubism,Diego Rivera,Social Realism,16
Cubism,Dorrit Black,Cubism,29
Cubism,Ed Clark,Abstract Expressionism,2
Cubism,Eduardo Viana,Modernismo,2
Cubism,Edward Wadsworth,Vorticism,4
Cubism,Eileen Agar,Surrealism,1
Cubism,Emil Filla,Expressionism,2
Cubism,Emilio Pettoruti,Cubism,5
Cubism,Enrico Baj,Surrealism,1
Cubism,Enrico Prampolini,Futurism,4
Cubism,Eric Massholder,Contemporary,1
Cubism,Ernst Ludwig Kirchner,Expressionism,9
Cubism,Fernand Leger,Cubism,139
Cubism,Fernando García Ponce,Abstract Art,2
Cubism,Filippo De Pisis,Metaphysical art,2
Cubism,Francis Picabia,Abstract Art,6
Cubism,František Hudeček,Modernism,5
Cubism,Franz Marc,Expressionism,40
Cubism,Félix Del Marle,Abstract Art,2
Cubism,Georg Pauli,Symbolism,7
Cubism,George Grosz,Dada,4
Cubism,George Saru,Abstract Art,2
Cubism,George Stefanescu,Post-Impressionism,1
Cubism,Georges Braque,Cubism,32
Cubism,Georges Ribemont-Dessaignes,Dada,1
Cubism,Georges Valmier,Cubism,41
Cubism,Georgy Yakulov,Abstract Art,3
Cubism,Giacomo Manzu,Realism,3
Cubism,Gino Severini,Cubism,13
Cubism,Giorgio Morandi,Metaphysical art,1
Cubism,Giuseppe Santomaso,Art Informel,5
Cubism,Gogi Khutsishvili,Post-Impressionism,3
Cubism,Gosta Adrian-Nilsson,Cubism,30
Cubism,Guilherme de Santa-Rita,Futurism,3
Cubism,Guity Novin,Expressionism,1
Cubism,Gustave Buchet,Cubism,15
Cubism,Hans Hofmann,Abstract Art,5
Cubism,Hans Richter,Dada,2
Cubism,Haroutiun Galentz,Cubism,3
Cubism,Harry Phelan Gibb,Post-Impressionism,1
Cubism,Hedda Sterne,Surrealism,1
Cubism,Heinrich Campendonk,Expressionism,4
Cubism,Henri Laurens,Cubism,33
Cubism,Henri Le Fauconnier,Cubism,8
Cubism,Henri Matisse,Impressionism,9
Cubism,Henryk Streng,Cubism,15
Cubism,Hélène de Beauvoir,Modernism,7
Cubism,Ion Alin Gheorghiu,Abstract Art,20
Cubism,Jacob Epstein,Expressionism,1
Cubism,Jacob Lawrence,Social Realism,4
Cubism,Jacoba van Heemskerck,Expressionism,2
Cubism,Jacques Lipchitz,Cubism,12
Cubism,Jacques Villon,Cubism,29
Cubism,James Lesesne Wells,Harlem Renaissance (New Negro Movement),2
Cubism,Jan Sluyters,Post-Impressionism,1
Cubism,Jankel Adler,Cubism,11
Cubism,Janos Mattis-Teutsch,Constructivism,4
Cubism,Jean David,Surrealism,25
Cubism,Jean Helion,Abstract Art,2
Cubism,Jean Hugo,Cubism,3
Cubism,Jean Metzinger,Cubism,22
Cubism,Jindrich Styrsky,Surrealism,9
Cubism,Joan Miro,Surrealism,7
Cubism,Johannes Itten,Expressionism,1
Cubism,Johannes Sveinsson Kjarval,Expressionism,1
Cubism,John Marin,Expressionism,4
Cubism,Jose de Almada-Negreiros,Art Nouveau,5
Cubism,Josef Capek,Expressionism,42
Cubism,José Pedro Costigliolo,Cubism,1
Cubism,Juan Gris,Cubism,79
Cubism,Jules Pascin,Expressionism,1
Cubism,Julio Gonzalez,Cubism,18
Cubism,Jury Annenkov,Cubism,3
Cubism,Karl Knaths,Cubism,30
Cubism,Kazimir Malevich,Abstract Art,31
Cubism,Kmetty János,Cubism,53
Cubism,Konrad Zuse,Kitsch,1
Cubism,Konstantin Vasilyev,Symbolism,1
Cubism,Konstantinos Parthenis,Symbolism,6
